Time,borFie.TBorAve
0,284.1629
3600,284.09134
7200,284.01715
10800,283.95554
14400,283.90497
18000,283.8634
21600,283.82965
25200,283.80255
28800,283.71744
32400,283.5816
36000,283.5318
39600,283.4669
43200,283.40506
46800,283.39203
50400,283.39368
54000,283.3812
57600,283.35004
61200,283.32867
64800,283.37292
68400,283.488
72000,283.5346
75600,283.5519
79200,283.5613
82800,283.56744
86400,283.57114
90000,283.57272
93600,283.57312
97200,283.57352
100800,283.57443
104400,283.57672
108000,283.58026
111600,283.5841
115200,283.52164
118800,283.40323
122400,283.38785
126000,283.39084
129600,283.39673
133200,283.40567
136800,283.41345
140400,283.42023
144000,283.41348
147600,283.39832
151200,283.42484
154800,283.52142
158400,283.5717
162000,283.59277
165600,283.6031
169200,283.6092
172800,283.61203
176400,283.61246
180000,283.61185
183600,283.611
187200,283.61005
190800,283.6083
194400,283.6059
198000,283.6033
201600,283.6004
205200,283.5983
208800,283.59854
212400,283.6015
216000,283.6063
219600,283.60953
223200,283.60547
226800,283.59387
230400,283.58005
234000,283.5677
237600,283.5576
241200,283.54907
244800,283.54126
248400,283.53308
252000,283.52417
255600,283.51624
259200,283.5099
262800,283.50385
266400,283.49792
270000,283.49298
273600,283.48853
277200,283.48438
280800,283.48148
284400,283.4791
288000,283.47586
291600,283.47324
295200,283.4761
298800,283.4902
302400,283.51712
306000,283.5485
309600,283.57333
313200,283.5848
316800,283.57913
320400,283.559
324000,283.53778
327600,283.52197
331200,283.51062
334800,283.50204
338400,283.49518
342000,283.48886
345600,283.482
349200,283.47467
352800,283.4673
356400,283.45984
360000,283.4537
363600,283.44904
367200,283.44498
370800,283.44104
374400,283.3736
378000,283.25296
381600,283.227
385200,283.20096
388800,283.16602
392400,283.15
396000,283.14743
399600,283.14066
403200,283.12085
406800,283.10526
410400,283.1515
414000,283.26978
417600,283.32068
421200,283.34122
424800,283.3527
428400,283.36017
432000,283.36462
435600,283.36615
439200,283.36594
442800,283.36505
446400,283.3649
450000,283.36584
453600,283.3667
457200,283.3669
460800,283.36703
464400,283.36786
468000,283.37122
471600,283.37662
475200,283.3799
478800,283.3822
482400,283.38498
486000,283.38727
489600,283.38773
493200,283.38464
496800,283.3803
500400,283.37668
504000,283.3731
507600,283.36917
511200,283.3643
514800,283.35886
518400,283.3536
522000,283.34796
525600,283.34155
529200,283.335
532800,283.32953
536400,283.3246
540000,283.31866
543600,283.31155
547200,283.30362
550800,283.29907
554400,283.30548
558000,283.32104
561600,283.33582
565200,283.34573
568800,283.35004
572400,283.3498
576000,283.34476
579600,283.3349
583200,283.32452
586800,283.31592
590400,283.3084
594000,283.30164
597600,283.2956
601200,283.2905
604800,283.28586
608400,283.28134
612000,283.27728
615600,283.2739
619200,283.27112
622800,283.26862
626400,283.26556
630000,283.2615
633600,283.19666
637200,283.07883
640800,283.04565
644400,283.00842
648000,282.9651
651600,282.9534
655200,282.95547
658800,282.94788
662400,282.92505
666000,282.90747
669600,282.95944
673200,283.0835
676800,283.13153
680400,283.15115
684000,283.1626
687600,283.1702
691200,283.17548
694800,283.1793
698400,283.1819
702000,283.18347
705600,283.18433
709200,283.18472
712800,283.18484
716400,283.18484
720000,283.12378
723600,283.0063
727200,282.96808
730800,282.923
734400,282.8807
738000,282.88266
741600,282.89655
745200,282.89334
748800,282.86957
752400,282.85275
756000,282.90585
759600,283.03043
763200,283.07864
766800,283.09723
770400,283.10757
774000,283.11414
777600,283.11832
781200,283.12143
784800,283.12457
788400,283.12787
792000,283.13144
795600,283.1359
799200,283.14133
802800,283.14682
806400,283.152
810000,283.15802
813600,283.16626
817200,283.1765
820800,283.1867
824400,283.19604
828000,283.20428
831600,283.21133
835200,283.21664
838800,283.22073
842400,283.22485
846000,283.23016
849600,283.23743
853200,283.24658
856800,283.2563
860400,283.26514
864000,283.27167
867600,283.27496
871200,283.27628
874800,283.2772
878400,283.27786
882000,283.2783
885600,283.27917
889200,283.27963
892800,283.27835
896400,283.2781
900000,283.28326
903600,283.29376
907200,283.30646
910800,283.32257
914400,283.34497
918000,283.3664
921600,283.3743
925200,283.3664
928800,283.35342
932400,283.34305
936000,283.3348
939600,283.3256
943200,283.31738
946800,283.31168
950400,283.30585
954000,283.29962
957600,283.29358
961200,283.28812
964800,283.28345
968400,283.2793
972000,283.2751
975600,283.2702
979200,283.20117
982800,283.08133
986400,283.0716
990000,283.08533
993600,283.08945
997200,283.0939
1000800,283.10822
1004400,283.11646
1008000,283.10605
1011600,283.0849
1015200,283.1131
1018800,283.21497
1022400,283.25836
1026000,283.27274
1029600,283.2799
1033200,283.28424
1036800,283.2871
1040400,283.2893
1044000,283.29077
1047600,283.29108
1051200,283.29126
1054800,283.29364
1058400,283.29953
1062000,283.30774
1065600,283.31598
1069200,283.3236
1072800,283.33157
1076400,283.3408
1080000,283.35168
1083600,283.36316
1087200,283.37323
1090800,283.38083
1094400,283.38498
1098000,283.3854
1101600,283.3846
1105200,283.38403
1108800,283.38226
1112400,283.38007
1116000,283.37903
1119600,283.37903
1123200,283.3805
1126800,283.38373
1130400,283.38785
1134000,283.39117
1137600,283.39206
1141200,283.39084
1144800,283.3885
1148400,283.38498
1152000,283.38098
1155600,283.37823
1159200,283.37888
1162800,283.38452
1166400,283.3937
1170000,283.405
1173600,283.41583
1177200,283.41995
1180800,283.4167
1184400,283.40717
1188000,283.3954
1191600,283.38458
1195200,283.37595
1198800,283.37015
1202400,283.36594
1206000,283.36252
1209600,283.35938
1213200,283.35684
1216800,283.35522
1220400,283.35385
1224000,283.35178
1227600,283.3484
1231200,283.34518
1234800,283.34384
1238400,283.27695
1242000,283.1551
1245600,283.1408
1249200,283.14578
1252800,283.14145
1256400,283.12988
1260000,283.12982
1263600,283.13565
1267200,283.1247
1270800,283.1035
1274400,283.1314
1278000,283.23254
1281600,283.27448
1285200,283.28693
1288800,283.29205
1292400,283.29514
1296000,283.29758
1299600,283.29892
1303200,283.29892
1306800,283.29886
1310400,283.2989
1314000,283.29822
1317600,283.29657
1321200,283.29413
1324800,283.2252
1328400,283.10098
1332000,283.08255
1335600,283.08136
1339200,283.07867
1342800,283.0874
1346400,283.09683
1350000,283.09824
1353600,283.07983
1357200,283.05865
1360800,283.09042
1364400,283.19232
1368000,283.2318
1371600,283.24185
1375200,283.2451
1378800,283.24692
1382400,283.2486
1386000,283.2496
1389600,283.249
1393200,283.2468
1396800,283.24414
1400400,283.24188
1404000,283.24017
1407600,283.2391
1411200,283.23868
1414800,283.24088
1418400,283.2515
1422000,283.26862
1425600,283.2802
1429200,283.28598
1432800,283.2892
1436400,283.2908
1440000,283.2896
1443600,283.28488
1447200,283.279
1450800,283.27313
1454400,283.26627
1458000,283.25858
1461600,283.25125
1465200,283.24512
1468800,283.24094
1472400,283.2379
1476000,283.23566
1479600,283.23453
1483200,283.23404
1486800,283.23373
1490400,283.2336
1494000,283.2334
1497600,283.23364
1501200,283.23624
1504800,283.24268
1508400,283.25317
1512000,283.26556
1515600,283.27795
1519200,283.29056
1522800,283.30283
1526400,283.31326
1530000,283.32068
1533600,283.32587
1537200,283.33066
1540800,283.33478
1544400,283.3377
1548000,283.34006
1551600,283.34216
1555200,283.3437
1558800,283.3451
1562400,283.347
1566000,283.34912
1569600,283.35095
1573200,283.35257
1576800,283.3541
1580400,283.35507
1584000,283.28683
1587600,283.16333
1591200,283.15845
1594800,283.18735
1598400,283.2036
1602000,283.18924
1605600,283.1849
1609200,283.2031
1612800,283.21027
1616400,283.19543
1620000,283.21252
1623600,283.30038
1627200,283.3449
1630800,283.3546
1634400,283.35413
1638000,283.35272
1641600,283.35123
1645200,283.34894
1648800,283.34558
1652400,283.3418
1656000,283.33823
1659600,283.33444
1663200,283.3302
1666800,283.32553
1670400,283.32074
1674000,283.32062
1677600,283.33624
1681200,283.3706
1684800,283.41113
1688400,283.4476
1692000,283.47577
1695600,283.4915
1699200,283.49185
1702800,283.47827
1706400,283.45862
1710000,283.4418
1713600,283.42877
1717200,283.4192
1720800,283.41153
1724400,283.4043
1728000,283.39743
1731600,283.3905
1735200,283.38312
1738800,283.37555
1742400,283.36835
1746000,283.36267
1749600,283.3595
1753200,283.35794
1756800,283.35666
1760400,283.35614
1764000,283.3598
1767600,283.37054
1771200,283.38315
1774800,283.38898
1778400,283.3909
1782000,283.39224
1785600,283.39185
1789200,283.38864
1792800,283.38528
1796400,283.38303
1800000,283.38086
1803600,283.37827
1807200,283.37512
1810800,283.37167
1814400,283.36832
1818000,283.36475
1821600,283.36038
1825200,283.3556
1828800,283.35065
1832400,283.34586
1836000,283.34113
1839600,283.33505
1843200,283.2619
1846800,283.13724
1850400,283.12512
1854000,283.13248
1857600,283.13895
1861200,283.14954
1864800,283.15216
1868400,283.15646
1872000,283.14777
1875600,283.12637
1879200,283.1499
1882800,283.24713
1886400,283.29236
1890000,283.30838
1893600,283.31805
1897200,283.3265
1900800,283.3347
1904400,283.34262
1908000,283.3498
1911600,283.35577
1915200,283.3603
1918800,283.3631
1922400,283.36404
1926000,283.36288
1929600,283.292
1933200,283.1643
1936800,283.14703
1940400,283.15387
1944000,283.16083
1947600,283.17026
1951200,283.18903
1954800,283.20392
1958400,283.19852
1962000,283.1784
1965600,283.19693
1969200,283.28528
1972800,283.32986
1976400,283.34396
1980000,283.34647
1983600,283.34595
1987200,283.34497
1990800,283.34296
1994400,283.33954
1998000,283.3359
2001600,283.3331
2005200,283.32996
2008800,283.32492
2012400,283.31863
2016000,283.31213
2019600,283.30948
2023200,283.31857
2026800,283.33737
2030400,283.35547
2034000,283.37335
2037600,283.3846
2041200,283.38312
2044800,283.37274
2048400,283.35712
2052000,283.33923
2055600,283.32324
2059200,283.31064
2062800,283.30048
2066400,283.2926
2070000,283.2874
2073600,283.2847
2077200,283.28238
2080800,283.27786
2084400,283.2728
2088000,283.2683
2091600,283.26346
2095200,283.2595
2098800,283.25644
2102400,283.2535
2106000,283.25156
2109600,283.25464
2113200,283.27258
2116800,283.30215
2120400,283.3288
2124000,283.35275
2127600,283.3652
2131200,283.35965
2134800,283.34363
2138400,283.3258
2142000,283.31088
2145600,283.2978
2149200,283.28558
2152800,283.27515
2156400,283.26596
2160000,283.25742
2163600,283.24963
2167200,283.24277
2170800,283.23557
2174400,283.22778
2178000,283.22168
2181600,283.2161
2185200,283.20944
2188800,283.14023
2192400,283.02237
2196000,283.00525
2199600,282.99405
2203200,282.9918
2206800,283.0256
2210400,283.05237
2214000,283.05466
2217600,283.03354
2221200,283.00534
2224800,283.03064
2228400,283.12997
2232000,283.16333
2235600,283.16748
2239200,283.16418
2242800,283.15884
2246400,283.1527
2250000,283.14636
2253600,283.14145
2257200,283.13828
2260800,283.13577
2264400,283.1331
2268000,283.12994
2271600,283.12686
2275200,283.12415
2278800,283.12387
2282400,283.13086
2286000,283.14774
2289600,283.17123
2293200,283.192
2296800,283.20227
2300400,283.20102
2304000,283.19315
2307600,283.18127
2311200,283.1688
2314800,283.15924
2318400,283.15268
2322000,283.14847
2325600,283.14545
2329200,283.14304
2332800,283.14078
2336400,283.13904
2340000,283.13858
2343600,283.1389
2347200,283.13937
2350800,283.13974
2354400,283.1396
2358000,283.13898
2361600,283.13852
2365200,283.14117
2368800,283.15768
2372400,283.19492
2376000,283.23953
2379600,283.2788
2383200,283.30896
2386800,283.32617
2390400,283.32547
2394000,283.30655
2397600,283.2814
2401200,283.2607
2404800,283.24463
2408400,283.23138
2412000,283.2209
2415600,283.21356
2419200,283.20822
2422800,283.20285
2426400,283.1958
2430000,283.18732
2433600,283.17856
2437200,283.16968
2440800,283.1612
2444400,283.15335
2448000,283.08472
2451600,282.9658
2455200,282.9406
2458800,282.91797
2462400,282.89044
2466000,282.88245
2469600,282.88837
2473200,282.8957
2476800,282.88895
2480400,282.87634
2484000,282.91913
2487600,283.03412
2491200,283.08374
2494800,283.10434
2498400,283.11496
2502000,283.12103
2505600,283.12476
2509200,283.12576
2512800,283.12366
2516400,283.12006
2520000,283.1162
2523600,283.1123
2527200,283.1086
2530800,283.10483
2534400,283.0383
2538000,282.91803
2541600,282.8904
2545200,282.8683
2548800,282.84354
2552400,282.84482
2556000,282.8585
2559600,282.86353
2563200,282.84714
2566800,282.82962
2570400,282.87125
2574000,282.984
2577600,283.0278
2581200,283.04352
2584800,283.05157
2588400,283.0562
2592000,283.05893
2595600,283.06146
2599200,283.06467
2602800,283.06732
2606400,283.06882
2610000,283.0698
2613600,283.07025
2617200,283.07013
2620800,283.0705
2624400,283.07492
2628000,283.08932
2631600,283.11334
2635200,283.1381
2638800,283.15616
2642400,283.1641
2646000,283.1633
2649600,283.15775
2653200,283.14954
2656800,283.13962
2660400,283.12985
2664000,283.1218
2667600,283.11572
2671200,283.11102
2674800,283.10742
2678400,283.1047
2682000,283.10303
2685600,283.10242
2689200,283.10233
2692800,283.1029
2696400,283.10413
2700000,283.10565
2703600,283.1074
2707200,283.10953
2710800,283.11313
2714400,283.12012
2718000,283.1315
2721600,283.145
2725200,283.1574
2728800,283.16824
2732400,283.178
2736000,283.1837
2739600,283.18268
2743200,283.1786
2746800,283.17523
2750400,283.17282
2754000,283.17096
2757600,283.16928
2761200,283.16757
2764800,283.16595
2768400,283.16513
2772000,283.1647
2775600,283.16455
2779200,283.16498
2782800,283.16565
2786400,283.16595
2790000,283.16565
2793600,283.09912
2797200,282.97906
2800800,282.96924
2804400,282.98212
2808000,282.9832
2811600,282.97336
2815200,282.9801
2818800,282.9967
2822400,282.99652
2826000,282.9797
2829600,283.00613
2833200,283.10385
2836800,283.14255
2840400,283.15103
2844000,283.1542
2847600,283.15628
2851200,283.15784
2854800,283.15967
2858400,283.16147
2862000,283.16278
2865600,283.16364
2869200,283.1634
2872800,283.16177
2876400,283.15973
2880000,283.15872
2883600,283.16135
2887200,283.17044
2890800,283.18378
2894400,283.19653
2898000,283.20862
2901600,283.21988
2905200,283.22916
2908800,283.2351
2912400,283.23666
2916000,283.2357
2919600,283.23453
2923200,283.23376
2926800,283.23364
2930400,283.234
2934000,283.23465
2937600,283.2354
2941200,283.23618
2944800,283.237
2948400,283.2378
2952000,283.23828
2955600,283.23834
2959200,283.2385
2962800,283.23886
2966400,283.23965
2970000,283.2419
2973600,283.24744
2977200,283.2562
2980800,283.2661
2984400,283.27734
2988000,283.29135
2991600,283.3052
2995200,283.3147
2998800,283.31665
3002400,283.3136
