Time,borFie.TBorAve
0,284.43207
3600,284.37878
7200,284.32364
10800,284.2778
14400,284.2402
18000,284.2093
21600,284.18417
25200,284.16403
28800,284.10004
32400,283.99963
36000,283.96255
39600,283.9141
43200,283.86835
46800,283.8587
50400,283.8599
54000,283.85043
57600,283.8273
61200,283.81143
64800,283.845
68400,283.93018
72000,283.96463
75600,283.97748
79200,283.9845
82800,283.98907
86400,283.99185
90000,283.993
93600,283.9933
97200,283.99356
100800,283.99426
104400,283.99597
108000,283.9986
111600,284.00143
115200,283.95425
118800,283.86688
122400,283.85553
126000,283.8577
129600,283.8621
133200,283.8687
136800,283.87454
140400,283.87946
144000,283.87445
147600,283.86307
151200,283.88336
154800,283.95493
158400,283.99216
162000,284.0078
165600,284.0155
169200,284.02005
172800,284.0222
176400,284.0225
180000,284.02203
183600,284.02142
187200,284.02072
190800,284.01938
194400,284.0176
198000,284.01566
201600,284.01352
205200,284.01196
208800,284.01212
212400,284.01434
216000,284.01788
219600,284.02026
223200,284.01718
226800,284.00854
230400,283.99826
234000,283.9891
237600,283.98157
241200,283.97525
244800,283.96945
248400,283.96338
252000,283.95676
255600,283.95087
259200,283.94617
262800,283.94168
266400,283.93726
270000,283.9336
273600,283.93027
277200,283.92715
280800,283.925
284400,283.92322
288000,283.9208
291600,283.91885
295200,283.921
298800,283.93155
302400,283.95157
306000,283.97488
309600,283.99332
313200,284.00177
316800,283.9975
320400,283.98254
324000,283.9668
327600,283.95505
331200,283.94662
334800,283.94025
338400,283.93515
342000,283.93048
345600,283.92535
349200,283.91992
352800,283.9144
356400,283.90887
360000,283.90433
363600,283.90085
367200,283.89783
370800,283.8949
374400,283.84406
378000,283.755
381600,283.7357
385200,283.7162
388800,283.69028
392400,283.6784
396000,283.6765
399600,283.67136
403200,283.65665
406800,283.64502
410400,283.68008
414000,283.7676
417600,283.8053
421200,283.82056
424800,283.8291
428400,283.83466
432000,283.83795
435600,283.83908
439200,283.83893
442800,283.8383
446400,283.83817
450000,283.83884
453600,283.83948
457200,283.83963
460800,283.83972
464400,283.84033
468000,283.84286
471600,283.84686
475200,283.8493
478800,283.851
482400,283.8531
486000,283.8548
489600,283.85513
493200,283.8528
496800,283.8496
500400,283.8469
504000,283.84424
507600,283.8413
511200,283.83768
514800,283.83365
518400,283.82974
522000,283.82556
525600,283.82077
529200,283.81592
532800,283.81186
536400,283.80817
540000,283.80377
543600,283.7985
547200,283.79257
550800,283.7892
554400,283.79404
558000,283.80557
561600,283.81653
565200,283.82388
568800,283.82706
572400,283.82687
576000,283.82312
579600,283.81577
583200,283.80804
586800,283.80167
590400,283.79605
594000,283.79102
597600,283.78653
601200,283.7827
604800,283.77927
608400,283.7759
612000,283.77286
615600,283.77032
619200,283.76828
622800,283.76642
626400,283.76416
630000,283.76114
633600,283.71225
637200,283.6252
640800,283.60056
644400,283.5727
648000,283.54062
651600,283.532
655200,283.53354
658800,283.52774
662400,283.5108
666000,283.49777
669600,283.53714
673200,283.6289
676800,283.66446
680400,283.67905
684000,283.6876
687600,283.69324
691200,283.69717
694800,283.7
698400,283.70193
702000,283.70313
705600,283.70374
709200,283.70404
712800,283.70413
716400,283.70413
720000,283.65805
723600,283.57126
727200,283.54285
730800,283.50916
734400,283.47794
738000,283.47943
741600,283.48972
745200,283.48715
748800,283.46948
752400,283.45703
756000,283.49722
759600,283.5894
763200,283.6251
766800,283.6389
770400,283.64658
774000,283.65146
777600,283.6546
781200,283.65692
784800,283.65924
788400,283.66168
792000,283.66437
795600,283.66766
799200,283.6717
802800,283.67578
806400,283.67966
810000,283.6841
813600,283.69025
817200,283.69788
820800,283.70547
824400,283.7124
828000,283.7185
831600,283.72375
835200,283.7277
838800,283.73074
842400,283.73383
846000,283.73776
849600,283.7432
853200,283.75
856800,283.7572
860400,283.76376
864000,283.76862
867600,283.77106
871200,283.77203
874800,283.7727
878400,283.77322
882000,283.77353
885600,283.7742
889200,283.77454
892800,283.77356
896400,283.7734
900000,283.77725
903600,283.78506
907200,283.79453
910800,283.80655
914400,283.8232
918000,283.8391
921600,283.84488
925200,283.839
928800,283.82938
932400,283.82166
936000,283.81552
939600,283.8087
943200,283.80258
946800,283.79834
950400,283.794
954000,283.78937
957600,283.78488
961200,283.78082
964800,283.77734
968400,283.77426
972000,283.77112
975600,283.76752
979200,283.71545
982800,283.62704
986400,283.61993
990000,283.63004
993600,283.63303
997200,283.6364
1000800,283.64706
1004400,283.65308
1008000,283.64532
1011600,283.62955
1015200,283.65118
1018800,283.72656
1022400,283.75867
1026000,283.76938
1029600,283.77472
1033200,283.77795
1036800,283.78006
1040400,283.7817
1044000,283.78278
1047600,283.78302
1051200,283.78317
1054800,283.78494
1058400,283.78934
1062000,283.79544
1065600,283.80157
1069200,283.80725
1072800,283.81317
1076400,283.82007
1080000,283.82816
1083600,283.83667
1087200,283.84415
1090800,283.8498
1094400,283.85287
1098000,283.85318
1101600,283.8526
1105200,283.85214
1108800,283.85083
1112400,283.8492
1116000,283.84845
1119600,283.84845
1123200,283.84952
1126800,283.85193
1130400,283.855
1134000,283.85745
1137600,283.8581
1141200,283.85718
1144800,283.85544
1148400,283.8528
1152000,283.84982
1155600,283.8478
1159200,283.8483
1162800,283.8525
1166400,283.85934
1170000,283.86774
1173600,283.87576
1177200,283.8788
1180800,283.87634
1184400,283.86926
1188000,283.8605
1191600,283.85245
1195200,283.84604
1198800,283.84174
1202400,283.8386
1206000,283.83606
1209600,283.8337
1213200,283.83185
1216800,283.83063
1220400,283.8296
1224000,283.82803
1227600,283.82553
1231200,283.82315
1234800,283.82214
1238400,283.77167
1242000,283.68176
1245600,283.67123
1249200,283.67487
1252800,283.67154
1256400,283.663
1260000,283.66302
1263600,283.66727
1267200,283.6591
1270800,283.64328
1274400,283.6647
1278000,283.73956
1281600,283.77057
1285200,283.77982
1288800,283.78366
1292400,283.78595
1296000,283.78778
1299600,283.7888
1303200,283.7888
1306800,283.78873
1310400,283.78876
1314000,283.78827
1317600,283.78705
1321200,283.78522
1324800,283.73325
1328400,283.64154
1332000,283.62796
1335600,283.62695
1339200,283.62503
1342800,283.6315
1346400,283.63852
1350000,283.63947
1353600,283.62576
1357200,283.61002
1360800,283.63428
1364400,283.7097
1368000,283.7389
1371600,283.74634
1375200,283.74878
1378800,283.75012
1382400,283.7514
1386000,283.75217
1389600,283.75168
1393200,283.75003
1396800,283.74808
1400400,283.7464
1404000,283.74512
1407600,283.74432
1411200,283.74402
1414800,283.74567
1418400,283.7536
1422000,283.76633
1425600,283.7749
1429200,283.77917
1432800,283.7816
1436400,283.78275
1440000,283.78186
1443600,283.77832
1447200,283.77396
1450800,283.7696
1454400,283.7645
1458000,283.75876
1461600,283.7533
1465200,283.74875
1468800,283.74564
1472400,283.7434
1476000,283.7417
1479600,283.74088
1483200,283.7405
