Time,TAvgFluid
0,282.87833
3600,283.67087
7200,283.52133
10800,283.41583
14400,283.33997
18000,283.2834
21600,283.2443
25200,283.21646
28800,282.53717
32400,282.6727
36000,282.54828
39600,282.33194
43200,282.41522
46800,282.48102
50400,282.5154
54000,282.40436
57600,282.39032
61200,282.38
64800,282.99963
68400,283.01743
72000,283.02994
75600,283.03857
79200,283.0438
82800,283.04648
86400,283.04434
90000,283.04214
93600,283.04123
97200,283.04196
100800,283.0485
104400,283.05975
108000,283.07205
111600,283.08163
115200,282.3998
118800,282.5808
122400,282.62546
126000,282.64856
129600,282.71207
133200,282.72003
136800,282.7805
140400,282.74173
144000,282.726
147600,282.63904
151200,283.1386
154800,283.20328
158400,283.2182
162000,283.21927
165600,283.2187
169200,283.21262
172800,283.20154
176400,283.1918
180000,283.18417
183600,283.17902
187200,283.17273
190800,283.16257
194400,283.1552
198000,283.14655
201600,283.13968
205200,283.14053
208800,283.15067
212400,283.16483
216000,283.18008
219600,283.17007
223200,283.13196
226800,283.09277
230400,283.0624
234000,283.0416
237600,283.02618
241200,283.0125
244800,282.99884
248400,282.97977
252000,282.96387
255600,282.95612
259200,282.9476
262800,282.93732
266400,282.93036
270000,282.92557
273600,282.91824
277200,282.9161
280800,282.91724
284400,282.9128
288000,282.9061
291600,282.9134
295200,282.95056
298800,283.0317
302400,283.12418
306000,283.18845
309600,283.20856
313200,283.1853
316800,283.10617
320400,283.03915
324000,283.0022
327600,282.97974
331200,282.96457
334800,282.95392
338400,282.9453
342000,282.93307
345600,282.91812
349200,282.90524
352800,282.88965
356400,282.879
360000,282.8742
363600,282.86966
367200,282.86508
370800,282.85938
374400,282.19095
378000,282.35498
381600,282.33328
385200,282.2152
388800,282.21698
392400,282.2458
396000,282.28082
399600,282.2063
403200,282.19513
406800,282.17065
410400,282.78952
414000,282.81485
417600,282.8268
421200,282.83408
424800,282.83554
428400,282.83472
432000,282.82703
435600,282.81848
439200,282.80972
442800,282.80493
446400,282.80646
450000,282.8081
453600,282.8065
457200,282.80533
460800,282.80536
464400,282.81097
468000,282.83173
471600,282.83774
475200,282.83838
478800,282.84653
482400,282.8503
486000,282.85352
489600,282.84137
493200,282.8257
496800,282.81818
500400,282.80984
504000,282.80185
507600,282.7909
511200,282.77744
514800,282.76715
518400,282.75626
522000,282.7424
525600,282.7275
529200,282.71735
532800,282.7113
536400,282.69965
540000,282.68518
543600,282.6677
547200,282.65164
550800,282.67236
554400,282.73203
558000,282.77505
561600,282.79987
565200,282.8059
568800,282.80017
572400,282.78674
576000,282.75397
579600,282.72382
583200,282.70596
586800,282.69037
590400,282.6774
594000,282.66583
597600,282.65802
601200,282.6512
604800,282.64377
608400,282.6374
612000,282.633
615600,282.62976
619200,282.62817
622800,282.6242
626400,282.6169
630000,282.60684
633600,281.97012
637200,282.09573
640800,282.04916
644400,281.88602
648000,281.92102
651600,281.97446
655200,281.9995
658800,281.91876
662400,281.89313
666000,281.88504
669600,282.54477
673200,282.53778
676800,282.55124
680400,282.55923
684000,282.5606
687600,282.56012
691200,282.55966
694800,282.5584
698400,282.55627
702000,282.5534
705600,282.55048
709200,282.5481
712800,282.5458
716400,282.5443
720000,281.90533
723600,282.01315
727200,281.934
730800,281.75726
734400,281.8521
738000,281.93735
741600,281.97168
745200,281.87024
748800,281.84564
752400,281.83997
756000,282.49585
759600,282.4899
763200,282.49646
766800,282.49957
770400,282.4972
774000,282.49298
777600,282.4888
781200,282.4891
784800,282.49124
788400,282.49478
792000,282.5014
795600,282.51245
799200,282.52353
802800,282.5322
806400,282.5423
810000,282.55933
813600,282.58487
817200,282.60727
820800,282.62622
824400,282.6411
828000,282.6543
831600,282.66156
835200,282.66513
838800,282.66965
842400,282.67816
846000,282.6926
849600,282.71353
853200,282.73523
856800,282.75372
860400,282.76602
864000,282.76712
867600,282.7626
871200,282.7599
874800,282.75848
878400,282.75516
882000,282.75467
885600,282.75638
889200,282.74905
892800,282.74115
896400,282.75308
900000,282.78394
903600,282.8162
907200,282.84763
910800,282.90585
914400,282.96774
918000,282.98392
921600,282.93765
925200,282.88593
928800,282.8541
932400,282.83734
936000,282.81195
939600,282.7877
943200,282.78027
946800,282.76782
950400,282.7535
954000,282.74045
957600,282.72916
961200,282.7204
964800,282.71353
968400,282.70642
972000,282.69672
975600,282.68497
979200,282.0089
982800,282.19598
986400,282.2973
990000,282.3153
993600,282.32373
997200,282.38437
1000800,282.44135
1004400,282.3904
1008000,282.3494
1011600,282.25348
