Time,TAvgFluid
0,283.8868
3600,283.75024
7200,283.60834
10800,283.50317
14400,283.42697
18000,283.37018
21600,283.3312
25200,283.30362
28800,282.6013
32400,282.74088
36000,282.62073
39600,282.39743
43200,282.48505
46800,282.55682
50400,282.59296
54000,282.47772
57600,282.4628
61200,282.45367
64800,283.09607
68400,283.1165
72000,283.12262
75600,283.12967
79200,283.13464
82800,283.13715
86400,283.13474
90000,283.13232
93600,283.13135
97200,283.13208
100800,283.13885
104400,283.1505
108000,283.1632
111600,283.17303
115200,282.46695
118800,282.65265
122400,282.70718
126000,282.73138
129600,282.79666
133200,282.80493
136800,282.86697
140400,282.82687
144000,282.80988
147600,282.72015
151200,283.23755
154800,283.3068
158400,283.317
162000,283.31586
165600,283.31458
169200,283.30798
172800,283.2963
176400,283.28607
180000,283.27817
183600,283.27286
187200,283.2664
190800,283.2559
194400,283.2483
198000,283.2394
201600,283.2324
205200,283.23337
208800,283.24396
212400,283.25867
216000,283.27438
219600,283.26392
223200,283.22418
226800,283.1836
230400,283.15253
234000,283.13147
237600,283.116
241200,283.1022
244800,283.08832
248400,283.06882
252000,283.0526
255600,283.0449
259200,283.0364
262800,283.02597
266400,283.01892
270000,283.0142
273600,283.00677
277200,283.00473
280800,283.00604
284400,283.00162
288000,282.9947
291600,283.00235
295200,283.041
298800,283.12512
302400,283.2206
306000,283.28635
309600,283.306
313200,283.28088
316800,283.1983
320400,283.1288
324000,283.09125
327600,283.06888
331200,283.05377
334800,283.04315
338400,283.03455
342000,283.02213
345600,283.00684
349200,282.9937
352800,282.9778
356400,282.967
360000,282.9623
363600,282.95786
367200,282.95328
370800,282.94748
374400,282.25558
378000,282.424
381600,282.4098
385200,282.28784
388800,282.28976
392400,282.32135
396000,282.3584
399600,282.28137
403200,282.26944
406800,282.24506
410400,282.88635
414000,282.91455
417600,282.92007
421200,282.9255
424800,282.92645
428400,282.92523
432000,282.91705
435600,282.90802
439200,282.89886
442800,282.89392
446400,282.89554
450000,282.89728
453600,282.89557
457200,282.89432
460800,282.89435
464400,282.90015
468000,282.92166
471600,282.92786
475200,282.92825
478800,282.93655
482400,282.94046
486000,282.94363
489600,282.931
493200,282.91467
496800,282.90695
500400,282.89853
504000,282.89035
507600,282.87912
511200,282.8653
514800,282.8548
518400,282.84372
522000,282.82956
525600,282.8143
529200,282.804
532800,282.79797
536400,282.7861
540000,282.77127
543600,282.75336
547200,282.73694
550800,282.75867
554400,282.8208
558000,282.8654
561600,282.89047
565200,282.89612
568800,282.88974
572400,282.87564
576000,282.84167
579600,282.81055
583200,282.79236
586800,282.77664
590400,282.7635
594000,282.7518
597600,282.74396
601200,282.73712
604800,282.72955
608400,282.7231
612000,282.71872
615600,282.71555
619200,282.714
622800,282.71002
626400,282.70255
630000,282.6922
633600,282.03308
637200,282.16187
640800,282.1214
644400,281.9531
648000,281.9897
651600,282.04745
655200,282.074
658800,281.99017
662400,281.96332
666000,281.956
669600,282.63974
673200,282.63446
676800,282.641
680400,282.6474
684000,282.64832
687600,282.64746
691200,282.6467
694800,282.64523
698400,282.6429
702000,282.63983
705600,282.63675
709200,282.63422
712800,282.63187
716400,282.6303
720000,281.96872
723600,282.0789
727200,282.0046
730800,281.82233
734400,281.9212
738000,282.0123
741600,282.04788
745200,281.94208
748800,281.91592
752400,281.91125
756000,282.59106
759600,282.5868
763200,282.58615
766800,282.58746
770400,282.58453
774000,282.57983
777600,282.5753
781200,282.57547
784800,282.5776
788400,282.58118
792000,282.5879
795600,282.59924
799200,282.6106
802800,282.6194
806400,282.62964
810000,282.6471
813600,282.6734
817200,282.69635
820800,282.7156
824400,282.73068
828000,282.744
831600,282.75125
835200,282.7547
838800,282.75916
842400,282.76785
846000,282.78265
849600,282.8042
853200,282.82645
856800,282.8453
860400,282.8577
864000,282.85852
867600,282.85355
871200,282.8506
874800,282.8491
878400,282.84564
882000,282.8451
885600,282.84686
889200,282.83923
892800,282.83102
896400,282.84338
900000,282.87546
903600,282.9088
907200,282.94098
910800,283.0009
914400,283.06454
918000,283.0806
921600,283.03174
925200,282.97754
928800,282.9448
932400,282.928
936000,282.90216
939600,282.87723
943200,282.86987
946800,282.85733
950400,282.84265
954000,282.8293
957600,282.81784
961200,282.809
964800,282.80206
968400,282.79486
972000,282.78494
975600,282.77292
979200,282.07312
982800,282.26544
986400,282.3787
990000,282.3977
993600,282.40527
997200,282.46783
1000800,282.52698
1004400,282.47385
1008000,282.4305
1011600,282.33157
1015200,282.9034
1018800,282.9286
1022400,282.914
1026000,282.91037
1029600,282.9044
1033200,282.89777
1036800,282.8938
1040400,282.8909
1044000,282.88516
1047600,282.87827
1051200,282.87924
1054800,282.89313
1058400,282.91522
1062000,282.93436
1065600,282.94885
1069200,282.96408
1072800,282.9827
1076400,283.00665
