Time,TAvgFluid
0,282.90723
3600,284.05493
7200,283.9404
10800,283.85886
14400,283.80252
18000,283.76062
21600,283.7324
25200,283.71225
28800,283.0937
32400,283.31516
36000,283.18536
39600,282.9985
43200,283.10675
46800,283.15607
50400,283.1762
54000,283.07016
57600,283.07443
61200,283.0686
64800,283.63748
68400,283.56525
72000,283.5712
75600,283.58316
79200,283.58835
82800,283.59015
86400,283.58783
90000,283.58612
93600,283.58563
97200,283.58643
100800,283.5923
104400,283.60165
108000,283.61133
111600,283.6184
115200,282.99234
118800,283.25586
122400,283.2746
126000,283.28244
129600,283.3375
133200,283.33676
136800,283.39136
140400,283.348
144000,283.3392
147600,283.26266
151200,283.73288
154800,283.72098
158400,283.7221
162000,283.72498
165600,283.72592
169200,283.72058
172800,283.71115
176400,283.70364
180000,283.6979
183600,283.6941
187200,283.68893
190800,283.68042
194400,283.67502
198000,283.66806
201600,283.66293
205200,283.6646
208800,283.6737
212400,283.68515
216000,283.69705
219600,283.68576
223200,283.6523
226800,283.6221
230400,283.6
234000,283.58508
237600,283.5737
241200,283.56317
244800,283.5525
248400,283.53696
252000,283.52512
255600,283.52032
259200,283.51364
262800,283.5054
266400,283.50052
270000,283.4972
273600,283.49118
277200,283.4903
280800,283.4917
284400,283.48752
288000,283.48203
291600,283.48978
295200,283.52286
298800,283.59186
302400,283.6649
306000,283.71054
309600,283.72015
313200,283.69662
316800,283.62805
320400,283.5783
324000,283.55417
327600,283.5384
331200,283.5271
334800,283.51917
338400,283.5127
342000,283.50266
345600,283.49072
349200,283.4811
352800,283.4687
356400,283.46112
360000,283.45828
363600,283.45477
367200,283.45123
370800,283.4467
374400,282.83508
378000,283.0811
381600,283.04126
385200,282.92944
388800,282.9484
392400,282.97568
396000,283.00302
399600,282.9297
403200,282.93054
406800,282.9108
410400,283.48114
414000,283.41595
417600,283.42004
421200,283.43054
424800,283.4324
428400,283.43143
432000,283.42435
435600,283.41748
439200,283.41058
442800,283.40732
446400,283.4093
450000,283.41043
453600,283.4086
457200,283.40775
460800,283.40793
464400,283.41306
468000,283.43124
471600,283.43375
475200,283.43338
478800,283.44095
482400,283.44333
486000,283.44568
489600,283.43414
493200,283.42154
496800,283.417
500400,283.4104
504000,283.4041
507600,283.39517
511200,283.3844
514800,283.37686
518400,283.36835
522000,283.35718
525600,283.3455
529200,283.33832
532800,283.33423
536400,283.32434
540000,283.3127
543600,283.29883
547200,283.28662
550800,283.30792
554400,283.35956
558000,283.39026
561600,283.40674
565200,283.40912
568800,283.4034
572400,283.39224
576000,283.36423
579600,283.3413
583200,283.32925
586800,283.31735
590400,283.30743
594000,283.2986
597600,283.29306
601200,283.2879
604800,283.28198
608400,283.27722
612000,283.27414
615600,283.27185
619200,283.27084
622800,283.2675
626400,283.2614
630000,283.2533
633600,282.67133
637200,282.8776
640800,282.82025
644400,282.67114
648000,282.72684
651600,282.77188
655200,282.7859
658800,282.7084
662400,282.6973
666000,282.69467
669600,283.30008
673200,283.19922
676800,283.20923
680400,283.2208
684000,283.22223
687600,283.22156
691200,283.22104
694800,283.21982
698400,283.21793
702000,283.21548
705600,283.21313
709200,283.21127
712800,283.20947
716400,283.20837
720000,282.623
723600,282.81317
727200,282.72855
730800,282.5717
734400,282.68405
738000,282.7494
741600,282.76678
745200,282.66934
748800,282.6624
752400,282.66208
756000,283.2634
759600,283.1639
763200,283.16742
766800,283.1754
770400,283.17413
774000,283.17044
777600,283.167
781200,283.1677
784800,283.16946
788400,283.1722
792000,283.17764
795600,283.18674
799200,283.19525
802800,283.20154
806400,283.20953
810000,283.22372
813600,283.2447
817200,283.26154
820800,283.27567
824400,283.28668
828000,283.29672
831600,283.30157
835200,283.30383
838800,283.30746
842400,283.31464
846000,283.32657
849600,283.3436
853200,283.36044
856800,283.37424
860400,283.3829
864000,283.38223
867600,283.378
871200,283.37622
874800,283.37527
878400,283.37234
882000,283.37225
885600,283.3738
889200,283.3668
892800,283.36053
896400,283.3726
900000,283.3991
903600,283.42407
907200,283.44815
910800,283.49713
914400,283.54565
918000,283.5516
921600,283.50708
925200,283.46677
928800,283.4454
932400,283.43436
936000,283.413
939600,283.39398
943200,283.39053
946800,283.38004
950400,283.36847
954000,283.35852
957600,283.35
961200,283.34354
964800,283.33844
968400,283.33286
972000,283.32495
975600,283.31558
979200,282.69778
982800,282.9659
986400,283.03546
990000,283.03052
993600,283.03558
997200,283.0915
1000800,283.1357
1004400,283.08093
1008000,283.05103
1011600,282.97006
1015200,283.48947
1018800,283.43057
1022400,283.41608
1026000,283.42047
1029600,283.4171
1033200,283.41205
1036800,283.4093
1040400,283.40714
1044000,283.4023
1047600,283.3969
1051200,283.39865
1054800,283.41064
1058400,283.42816
1062000,283.44205
1065600,283.45242
1069200,283.4642
1072800,283.47882
1076400,283.49765
1080000,283.51834
1083600,283.533
1087200,283.5418
1090800,283.54422
1094400,283.53598
1098000,283.52704
1101600,283.52567
1105200,283.5183
1108800,283.50903
1112400,283.5073
1116000,283.50623
1119600,283.50818
1123200,283.51514
1126800,283.52383
1130400,283.52985
1134000,283.52847
1137600,283.5214
1141200,283.51538
1144800,283.5066
1148400,283.49625
1152000,283.4902
1155600,283.49164
1159200,283.5067
1162800,283.52954
1166400,283.54907
1170000,283.57764
1173600,283.57684
1177200,283.5631
1180800,283.53494
1184400,283.5057
1188000,283.4857
1191600,283.46933
1195200,283.46344
1198800,283.45844
1202400,283.455
1206000,283.45074
1209600,283.44745
1213200,283.4473
1216800,283.44696
1220400,283.44473
1224000,283.43796
1227600,283.4303
1231200,283.43143
1234800,283.43408
1238400,282.79672
1242000,283.06796
1245600,283.10025
1249200,283.09564
1252800,283.06287
1256400,283.06924
1260000,283.14255
1263600,283.08682
1267200,283.06113
1270800,282.98175
1274400,283.50223
1278000,283.44107
1281600,283.42404
1285200,283.42487
1288800,283.42038
1292400,283.41782
1296000,283.41516
1299600,283.4085
1303200,283.40448
1306800,283.4035
1310400,283.3998
1314000,283.39407
1317600,283.388
1321200,283.38007
1324800,282.7433
1328400,282.99722
1332000,283.0266
1335600,282.98672
1339200,283.0583
1342800,283.07004
1346400,283.1152
1350000,283.02765
1353600,283.01105
1357200,282.94876
1360800,283.46802
1364400,283.3941
1368000,283.3731
1371600,283.37015
1375200,283.3635
1378800,283.3601
1382400,283.35712
1386000,283.35104
1389600,283.34152
1393200,283.33282
1396800,283.3274
1400400,283.32315
1404000,283.32098
1407600,283.31998
1411200,283.3209
1414800,283.34106
1418400,283.39618
1422000,283.4105
1425600,283.41022
1429200,283.41196
1432800,283.41122
1436400,283.4066
1440000,283.38992
1443600,283.3745
1447200,283.36423
1450800,283.3504
1454400,283.33377
1458000,283.3208
1461600,283.31024
1465200,283.30588
1468800,283.30386
1472400,283.30078
1476000,283.30164
1479600,283.30344
1483200,283.30402
1486800,283.30536
1490400,283.3061
1494000,283.3058
1497600,283.3119
1501200,283.32675
1504800,283.35114
1508400,283.3784
1512000,283.39932
1515600,283.42188
1519200,283.4433
1522800,283.46008
1526400,283.46808
1530000,283.47006
1533600,283.47562
1537200,283.48056
1540800,283.48105
1544400,283.4815
1548000,283.4835
1551600,283.48306
1555200,283.4825
1558800,283.48474
1562400,283.48773
1566000,283.48932
1569600,283.49014
1573200,283.49176
1576800,283.49246
1580400,283.48993
1584000,282.8331
1587600,283.1245
1591200,283.2152
1594800,283.28458
1598400,283.1974
1602000,283.16748
1605600,283.28253
1609200,283.2842
1612800,283.2558
1616400,283.1449
1620000,283.58557
1623600,283.58508
1627200,283.54593
1630800,283.52737
1634400,283.51678
1638000,283.50735
1641600,283.4972
1645200,283.48557
1648800,283.47415
1652400,283.46613
1656000,283.45782
1659600,283.44827
1663200,283.4389
1666800,283.4284
1670400,283.42172
1674000,283.45444
1677600,283.54706
1681200,283.63565
1684800,283.69855
1688400,283.74243
1692000,283.75824
1695600,283.73825
1699200,283.6893
1702800,283.62912
1706400,283.59647
1710000,283.57187
1713600,283.55624
1717200,283.54553
1720800,283.5328
1724400,283.52158
1728000,283.51083
1731600,283.49796
1735200,283.48492
1738800,283.47296
1742400,283.4641
1746000,283.4628
1749600,283.46475
1753200,283.46497
1756800,283.4632
1760400,283.47137
1764000,283.49847
1767600,283.53845
1771200,283.53824
1774800,283.53427
1778400,283.53598
1782000,283.53577
1785600,283.5228
1789200,283.5137
1792800,283.5115
1796400,283.50754
1800000,283.50247
1803600,283.49622
1807200,283.4896
1810800,283.48373
1814400,283.4789
1818000,283.47018
1821600,283.46164
1825200,283.45346
1828800,283.44516
1832400,283.43948
1836000,283.42957
1839600,283.41397
1843200,282.773
1846800,283.05554
1850400,283.1022
1854000,283.08478
1857600,283.1685
1861200,283.13544
1864800,283.18793
1868400,283.15216
1872000,283.1198
1875600,283.03052
1879200,283.52496
1882800,283.49103
1886400,283.47574
1890000,283.48578
1893600,283.4923
1897200,283.49924
1900800,283.508
1904400,283.51563
1908000,283.52106
1911600,283.52426
1915200,283.52417
1918800,283.52087
1922400,283.51422
1926000,283.5029
1929600,282.84286
1933200,283.10968
1936800,283.14267
1940400,283.16122
1944000,283.18225
1947600,283.23615
1951200,283.30057
1954800,283.25348
1958400,283.22256
1962000,283.12717
1965600,283.5719
1969200,283.558
1972800,283.54233
1976400,283.5282
1980000,283.51495
1983600,283.50616
1987200,283.49667
1990800,283.48352
1994400,283.47223
1998000,283.4657
2001600,283.46063
2005200,283.44733
2008800,283.4335
2012400,283.41965
2016000,283.4102
2019600,283.43137
2023200,283.49362
2026800,283.51883
2030400,283.555
2034000,283.57944
2037600,283.55673
2041200,283.5239
2044800,283.48676
2048400,283.44516
2052000,283.41443
2055600,283.39594
2059200,283.38095
2062800,283.37
2066400,283.36548
2070000,283.3659
2073600,283.36908
2077200,283.3599
2080800,283.34937
2084400,283.347
2088000,283.3377
2091600,283.33243
2095200,283.33176
2098800,283.3269
2102400,283.326
2106000,283.3279
2109600,283.3674
2113200,283.4595
2116800,283.4958
2120400,283.54385
2124000,283.56714
2127600,283.52838
2131200,283.4788
2134800,283.43524
2138400,283.4092
2142000,283.38763
2145600,283.36414
2149200,283.34894
2152800,283.336
2156400,283.32327
2160000,283.31198
2163600,283.30377
2167200,283.29556
2170800,283.27966
2174400,283.27402
2178000,283.2697
2181600,283.25854
2185200,283.2474
2188800,282.6432
2192400,282.91074
2196000,282.9029
2199600,282.83377
2203200,283.01923
2206800,283.0737
2210400,283.0812
2214000,282.99295
2217600,282.95908
2221200,282.86923
2224800,283.40607
2228400,283.30682
2232000,283.2797
2235600,283.26465
2239200,283.2458
2242800,283.229
2246400,283.21176
2250000,283.20142
2253600,283.19775
2257200,283.19403
2260800,283.19006
2264400,283.18365
2268000,283.17877
2271600,283.17496
2275200,283.17203
2278800,283.18954
2282400,283.22964
2286000,283.28815
2289600,283.33017
2293200,283.34244
2296800,283.32104
2300400,283.29706
2304000,283.26703
2307600,283.23666
2311200,283.22116
2314800,283.2119
2318400,283.20825
2322000,283.20547
2325600,283.20367
2329200,283.2013
2332800,283.19876
2336400,283.201
2340000,283.20425
2343600,283.20648
2347200,283.20853
2350800,283.20886
2354400,283.20755
2358000,283.2068
2361600,283.2084
2365200,283.2349
2368800,283.33502
2372400,283.43643
2376000,283.5017
2379600,283.54843
2383200,283.56644
2386800,283.54767
2390400,283.47882
2394000,283.40714
2397600,283.36926
2401200,283.3424
2404800,283.31973
2408400,283.30212
2412000,283.29422
2415600,283.2897
2419200,283.28412
2422800,283.2722
2426400,283.2559
2430000,283.2422
2433600,283.22754
2437200,283.2144
2440800,283.20343
2444400,283.1933
2448000,282.59674
2451600,282.83737
2455200,282.80377
2458800,282.71167
2462400,282.75046
2466000,282.78207
2469600,282.84314
2473200,282.80472
2476800,282.7964
2480400,282.75403
2484000,283.3151
2487600,283.246
2491200,283.25223
2494800,283.25833
2498400,283.25427
2502000,283.2508
2505600,283.2449
2509200,283.2313
2512800,283.21738
2516400,283.20734
2520000,283.19717
2523600,283.1887
2527200,283.18222
2530800,283.17154
2534400,282.5692
2538000,282.79016
2541600,282.7683
2545200,282.66763
2548800,282.73755
2552400,282.78775
2556000,282.83954
2559600,282.75565
2563200,282.74493
2566800,282.70465
2570400,283.26685
2574000,283.1762
2577600,283.17365
2581200,283.17816
2584800,283.1745
2588400,283.1683
2592000,283.16507
2595600,283.16776
2599200,283.16953
2602800,283.16678
2606400,283.16528
2610000,283.16367
2613600,283.1605
2617200,283.15802
2620800,283.16205
2624400,283.19214
2628000,283.25256
2631600,283.30276
2635200,283.33112
2638800,283.33307
2642400,283.31537
2646000,283.29434
2649600,283.27286
2653200,283.24774
2656800,283.2262
2660400,283.21097
2664000,283.2019
2667600,283.19485
2671200,283.19
2674800,283.18677
2678400,283.18494
2682000,283.18665
2685600,283.18744
2689200,283.18976
2692800,283.1936
2696400,283.19714
2700000,283.2009
2703600,283.20456
2707200,283.21082
2710800,283.22437
2714400,283.25012
2718000,283.27933
2721600,283.30106
2725200,283.3156
2728800,283.33237
2732400,283.34152
2736000,283.32733
2739600,283.30966
2743200,283.30182
2746800,283.2966
2750400,283.2921
2754000,283.2883
2757600,283.28485
2761200,283.28027
2764800,283.2795
2768400,283.27933
2772000,283.27835
2775600,283.2799
2779200,283.28162
2782800,283.28223
2786400,283.2805
2790000,283.27884
2793600,282.64566
