Time,borFie.TBorAve
0,284.22018
3600,284.1851
7200,284.14056
10800,284.0978
14400,284.05914
18000,284.02493
21600,283.99606
25200,283.8837
28800,283.73154
32400,283.7699
36000,283.80997
39600,283.8142
43200,283.81876
46800,283.82983
50400,283.83914
54000,283.84616
57600,283.84564
61200,283.8436
64800,283.8248
68400,283.8193
72000,283.8797
75600,283.9076
79200,283.90802
82800,283.90222
86400,283.8951
90000,283.88766
93600,283.88043
97200,283.874
100800,283.869
104400,283.8664
108000,283.866
111600,283.86658
115200,283.86688
118800,283.8679
122400,283.8756
126000,283.8952
129600,283.92065
133200,283.94257
136800,283.9547
140400,283.9571
144000,283.9529
147600,283.94418
151200,283.9337
154800,283.92438
158400,283.91742
162000,283.9122
165600,283.90784
169200,283.9031
172800,283.89673
176400,283.88892
180000,283.8811
183600,283.87402
187200,283.8675
190800,283.86053
194400,283.85306
198000,283.84567
201600,283.8382
205200,283.83185
208800,283.829
212400,283.83054
216000,283.83478
219600,283.8369
223200,283.8299
226800,283.81326
230400,283.79352
234000,283.77515
237600,283.75986
241200,283.747
244800,283.73517
248400,283.72287
252000,283.70972
255600,283.69794
259200,283.68845
262800,283.67947
266400,283.67072
270000,283.66312
273600,283.65622
277200,283.64975
280800,283.64496
284400,283.55075
288000,283.41013
291600,283.4647
295200,283.53238
298800,283.56604
302400,283.59732
306000,283.63104
309600,283.6574
313200,283.67633
316800,283.68326
320400,283.68094
324000,283.65955
327600,283.65604
331200,283.7217
334800,283.75433
338400,283.75488
342000,283.74612
345600,283.7353
349200,283.72412
352800,283.71317
356400,283.70242
360000,283.6935
363600,283.68652
367200,283.68036
370800,283.58463
374400,283.44418
378000,283.49454
381600,283.5512
385200,283.5757
388800,283.59378
392400,283.61063
396000,283.62305
399600,283.6353
403200,283.64246
406800,283.64706
410400,283.63263
414000,283.63135
417600,283.69778
421200,283.73285
424800,283.73727
428400,283.73285
432000,283.72565
435600,283.7164
439200,283.70663
442800,283.6974
446400,283.68997
450000,283.6847
453600,283.68002
457200,283.58517
460800,283.44595
464400,283.49695
468000,283.55215
471600,283.57507
475200,283.59186
478800,283.6099
482400,283.62436
486000,283.63757
489600,283.64487
493200,283.64853
496800,283.63477
500400,283.63406
504000,283.69653
507600,283.7284
511200,283.729
514800,283.7202
518400,283.7099
522000,283.69852
525600,283.68625
529200,283.6741
532800,283.66376
536400,283.6544
540000,283.64383
543600,283.54245
547200,283.39636
550800,283.44318
554400,283.49973
558000,283.52527
561600,283.5482
565200,283.57288
568800,283.59174
572400,283.60568
576000,283.6105
579600,283.61108
583200,283.59323
586800,283.58975
590400,283.65427
594000,283.68283
597600,283.68112
601200,283.673
604800,283.66382
608400,283.65454
612000,283.64612
615600,283.63873
619200,283.63235
622800,283.62656
626400,283.6202
630000,283.52365
633600,283.38235
637200,283.4314
640800,283.48523
644400,283.50415
648000,283.51965
651600,283.5375
655200,283.5513
658800,283.56305
662400,283.56836
666000,283.5712
669600,283.55338
673200,283.54953
676800,283.618
680400,283.64948
684000,283.65048
687600,283.64423
691200,283.63638
694800,283.62848
698400,283.62085
702000,283.61334
705600,283.60602
709200,283.59897
712800,283.59235
716400,283.5861
720000,283.58005
723600,283.57394
727200,283.569
730800,283.56915
734400,283.57684
738000,283.58682
741600,283.5943
745200,283.59637
748800,283.59094
752400,283.5797
756000,283.56705
759600,283.55585
763200,283.54517
766800,283.53464
770400,283.52487
774000,283.51556
777600,283.50653
781200,283.49838
784800,283.49197
788400,283.48703
792000,283.48346
795600,283.4818
799200,283.48203
802800,283.48288
806400,283.4838
810000,283.486
813600,283.49155
817200,283.50037
820800,283.51
824400,283.51877
828000,283.52628
831600,283.53174
835200,283.5347
838800,283.53625
842400,283.53833
846000,283.54227
849600,283.54883
853200,283.5579
856800,283.56775
860400,283.57663
864000,283.58258
867600,283.58456
871200,283.58417
874800,283.58344
878400,283.58252
882000,283.5813
885600,283.5807
889200,283.48752
892800,283.3456
896400,283.39856
900000,283.46436
903600,283.50354
907200,283.5352
910800,283.5642
914400,283.5883
918000,283.61328
921600,283.63046
925200,283.63678
928800,283.6253
932400,283.62793
936000,283.6788
939600,283.71066
943200,283.71765
946800,283.7111
950400,283.70044
954000,283.68857
957600,283.67712
961200,283.66672
964800,283.6576
968400,283.64935
972000,283.64114
975600,283.54105
979200,283.39514
982800,283.4427
986400,283.5021
990000,283.54022
993600,283.5722
997200,283.60083
1000800,283.62354
1004400,283.63965
1008000,283.64914
1011600,283.65503
1015200,283.64954
1018800,283.6551
1022400,283.703
1026000,283.73575
1029600,283.7485
1033200,283.7474
1036800,283.74203
1040400,283.7363
1044000,283.73087
1047600,283.7252
1051200,283.72018
1054800,283.71817
1058400,283.7205
1062000,283.63422
1065600,283.5008
1069200,283.55234
1072800,283.60648
1076400,283.63916
1080000,283.6654
1083600,283.6882
1087200,283.70602
1090800,283.72266
1094400,283.73544
1098000,283.74243
1101600,283.74054
1105200,283.74503
1108800,283.77942
1112400,283.80597
1116000,283.82407
1119600,283.8338
1123200,283.83765
1126800,283.83957
1130400,283.84134
1134000,283.8421
1137600,283.84055
1141200,283.8369
1144800,283.83212
1148400,283.73596
1152000,283.59338
1155600,283.63513
1159200,283.67902
1162800,283.7016
1166400,283.7201
1170000,283.73752
1173600,283.75226
1177200,283.76517
1180800,283.7708
1184400,283.76962
1188000,283.7623
1191600,283.76453
1195200,283.80045
1198800,283.82593
1202400,283.8379
1206000,283.83856
1209600,283.83383
1213200,283.82822
1216800,283.82333
1220400,283.81885
1224000,283.81363
1227600,283.80716
1231200,283.801
1234800,283.708
1238400,283.5716
1242000,283.61737
1245600,283.66293
1249200,283.68463
1252800,283.70175
1256400,283.71762
1260000,283.72952
1263600,283.73776
1267200,283.74075
1270800,283.74225
1274400,283.7382
1278000,283.74332
1281600,283.78372
1285200,283.81073
1288800,283.8202
1292400,283.81766
1296000,283.81168
1299600,283.80472
1303200,283.79712
1306800,283.7901
1310400,283.78397
1314000,283.77765
1317600,283.77078
1321200,283.76337
1324800,283.755
1328400,283.7486
1332000,283.7543
1335600,283.7742
1339200,283.79614
1342800,283.8144
1346400,283.8247
1350000,283.82617
1353600,283.81836
1357200,283.80273
1360800,283.7847
1364400,283.76523
1368000,283.74548
1371600,283.72742
1375200,283.7119
1378800,283.69928
1382400,283.68918
1386000,283.68002
1389600,283.67004
1393200,283.65903
1396800,283.6483
1400400,283.63876
1404000,283.6305
1407600,283.62347
1411200,283.61755
1414800,283.61545
1418400,283.6254
1422000,283.6446
1425600,283.65643
1429200,283.66034
1432800,283.66113
1436400,283.6595
1440000,283.65408
1443600,283.64395
1447200,283.63272
1450800,283.6219
1454400,283.61005
1458000,283.59723
1461600,283.585
1465200,283.5745
1468800,283.5666
1472400,283.56033
1476000,283.5551
1479600,283.55148
1483200,283.54877
1486800,283.54636
1490400,283.5442
1494000,283.45117
1497600,283.3129
1501200,283.37036
1504800,283.44022
1508400,283.47986
1512000,283.51178
1515600,283.54138
1519200,283.56625
1522800,283.593
1526400,283.61597
1530000,283.63193
1533600,283.63174
1537200,283.6406
1540800,283.68875
1544400,283.72562
1548000,283.7498
1551600,283.76126
1555200,283.76404
1558800,283.76385
1562400,283.76346
1566000,283.7635
1569600,283.76346
1573200,283.76337
1576800,283.76328
1580400,283.66953
1584000,283.52615
1587600,283.57166
1591200,283.6237
1594800,283.65756
1598400,283.6851
1602000,283.70773
1605600,283.72476
1609200,283.74158
1612800,283.7552
1616400,283.76154
1620000,283.75702
1623600,283.758
1627200,283.78986
1630800,283.8139
1634400,283.82748
1638000,283.8291
1641600,283.82288
1645200,283.81393
1648800,283.80377
1652400,283.79358
1656000,283.7843
1659600,283.77533
1663200,283.76624
1666800,283.665
1670400,283.51758
1674000,283.56192
1677600,283.6135
1681200,283.64383
1684800,283.6747
1688400,283.70895
1692000,283.73636
1695600,283.76324
1699200,283.77573
1702800,283.77518
1706400,283.76926
1710000,283.77228
1713600,283.80325
1717200,283.827
1720800,283.8414
1724400,283.8451
1728000,283.84134
1731600,283.8341
1735200,283.82516
1738800,283.81555
1742400,283.80603
1746000,283.79807
1749600,283.79288
1753200,283.70026
1756800,283.56357
1760400,283.6102
1764000,283.6573
1767600,283.6822
1771200,283.70233
1774800,283.7184
1778400,283.72983
1782000,283.74008
1785600,283.74677
1789200,283.75125
1792800,283.75153
1796400,283.75925
1800000,283.79462
1803600,283.82132
1807200,283.8378
1810800,283.8435
1814400,283.84207
1818000,283.83725
1821600,283.83075
1825200,283.82367
1828800,283.8163
1832400,283.8089
1836000,283.80145
1839600,283.70325
1843200,283.55948
1846800,283.60165
1850400,283.64767
1854000,283.67154
1857600,283.69415
1861200,283.71747
1864800,283.733
1868400,283.74506
1872000,283.75165
1875600,283.75348
1879200,283.75143
1882800,283.75845
1886400,283.7943
1890000,283.821
1893600,283.83698
1897200,283.8436
1900800,283.84647
1904400,283.84833
1908000,283.84985
1911600,283.85068
1915200,283.85074
1918800,283.84967
1922400,283.84717
1926000,283.84274
1929600,283.83627
1933200,283.82986
1936800,283.8287
1940400,283.83606
1944000,283.85025
1947600,283.86847
1951200,283.88504
1954800,283.89456
1958400,283.894
1962000,283.88385
1965600,283.86987
1969200,283.8561
1972800,283.84387
1976400,283.83212
1980000,283.81982
1983600,283.8082
1987200,283.798
1990800,283.7877
1994400,283.77628
1998000,283.76523
2001600,283.75574
2005200,283.74628
2008800,283.7347
2012400,283.72186
2016000,283.70895
2019600,283.7012
2023200,283.70923
2026800,283.73038
2030400,283.7506
2034000,283.7696
2037600,283.78033
2041200,283.77557
2044800,283.75906
2048400,283.73538
2052000,283.7092
2055600,283.6858
2059200,283.6668
2062800,283.6511
2066400,283.63837
2070000,283.62906
2073600,283.62292
2077200,283.6174
2080800,283.60928
2084400,283.60052
2088000,283.59268
2091600,283.5844
2095200,283.5773
2098800,283.4807
2102400,283.33875
2106000,283.392
2109600,283.45502
2113200,283.48633
2116800,283.5163
2120400,283.54596
2124000,283.57
2127600,283.58768
2131200,283.59476
2134800,283.59637
2138400,283.58215
2142000,283.5833
2145600,283.64243
2149200,283.6715
2152800,283.66895
2156400,283.6567
2160000,283.64313
2163600,283.63068
2167200,283.61963
2170800,283.6083
2174400,283.5964
2178000,283.5868
2181600,283.57785
2185200,283.47723
2188800,283.33194
2192400,283.38187
2196000,283.44275
2199600,283.47644
2203200,283.50784
2206800,283.53934
2210400,283.56573
2214000,283.58356
2217600,283.59192
2221200,283.59427
2224800,283.5818
2228400,283.5827
2232000,283.6363
2235600,283.65823
2239200,283.64822
2242800,283.63013
2246400,283.61105
2250000,283.59314
2253600,283.57855
2257200,283.56732
2260800,283.55783
2264400,283.54886
2268000,283.5398
2271600,283.4418
2275200,283.3003
2278800,283.3504
2282400,283.4066
