Time,TAvgFluid
0,284.0926
3600,283.99368
7200,283.88663
10800,283.7991
14400,283.72726
18000,283.67166
21600,283.63297
25200,282.61075
28800,283.20917
32400,283.40582
36000,283.36703
39600,283.3848
43200,283.45267
46800,283.47507
50400,283.5131
54000,283.5076
57600,283.4954
61200,283.50974
64800,283.29724
68400,283.69424
72000,283.74002
75600,283.69174
79200,283.6657
82800,283.64273
86400,283.62036
90000,283.6023
93600,283.58746
97200,283.57632
100800,283.57434
104400,283.5796
108000,283.58716
111600,283.5917
115200,283.59238
118800,283.6067
122400,283.67062
126000,283.7499
129600,283.81174
133200,283.8338
136800,283.82346
140400,283.8017
144000,283.769
147600,283.73477
151200,283.70828
154800,283.69284
158400,283.68314
162000,283.67615
165600,283.66852
169200,283.65482
172800,283.6346
176400,283.61713
180000,283.60284
183600,283.59177
187200,283.5795
190800,283.5621
194400,283.5486
198000,283.5334
201600,283.5197
205200,283.5175
208800,283.53027
212400,283.55
216000,283.56732
219600,283.55182
223200,283.49756
226800,283.44324
230400,283.3986
234000,283.36786
237600,283.34622
241200,283.32602
244800,283.3054
248400,283.27744
252000,283.25433
255600,283.24295
259200,283.23065
262800,283.21555
266400,283.20502
270000,283.19748
273600,283.18655
277200,283.18277
280800,283.1834
284400,282.16687
288000,282.7785
291600,283.05878
295200,283.091
298800,283.16586
302400,283.2775
306000,283.33002
309600,283.37567
313200,283.38037
316800,283.34918
320400,283.33078
324000,283.1201
327600,283.52805
331200,283.5863
334800,283.52936
338400,283.48566
342000,283.44696
345600,283.41095
349200,283.38202
352800,283.35233
356400,283.33115
360000,283.31897
363600,283.30743
367200,283.29654
370800,282.27994
374400,282.893
378000,283.11523
381600,283.13583
385200,283.1756
388800,283.23633
392400,283.24823
396000,283.28854
399600,283.29807
403200,283.29904
406800,283.3112
410400,283.10126
414000,283.50534
417600,283.57065
421200,283.5253
424800,283.4923
428400,283.4639
432000,283.42953
435600,283.3998
439200,283.3732
442800,283.35422
446400,283.34503
450000,283.3371
453600,283.32587
457200,282.3097
460800,282.92828
464400,283.13907
468000,283.1566
471600,283.1886
475200,283.25366
478800,283.27567
482400,283.31522
486000,283.32602
489600,283.32132
493200,283.32996
496800,283.1365
500400,283.5145
504000,283.57495
507600,283.5205
511200,283.47382
514800,283.4382
518400,283.40253
522000,283.36752
525600,283.33395
529200,283.3092
532800,283.2925
536400,283.26816
540000,283.24033
543600,282.21
547200,282.80997
550800,283.04285
554400,283.0631
558000,283.1189
561600,283.2059
565200,283.24005
568800,283.27896
572400,283.2786
576000,283.2608
579600,283.2668
583200,283.04526
586800,283.45837
590400,283.4972
594000,283.43295
597600,283.3959
601200,283.36334
604800,283.33328
608400,283.30942
612000,283.291
615600,283.276
619200,283.2646
622800,283.25098
626400,283.23395
630000,282.2165
633600,282.8225
637200,283.04388
640800,283.03888
644400,283.07214
648000,283.14185
651600,283.16208
655200,283.1999
658800,283.2032
662400,283.19797
666000,283.2095
669600,282.9714
673200,283.41074
676800,283.4528
680400,283.39703
684000,283.3634
687600,283.3322
691200,283.30533
694800,283.28287
698400,283.2627
702000,283.24402
705600,283.22714
709200,283.21234
712800,283.19882
716400,283.18686
720000,283.17346
723600,283.16214
727200,283.1612
730800,283.19427
734400,283.22986
738000,283.251
741600,283.25684
745200,283.237
748800,283.19962
752400,283.1611
756000,283.1366
759600,283.11383
763200,283.08972
766800,283.07028
770400,283.05252
774000,283.03476
777600,283.0185
781200,283.00937
784800,283.0036
788400,283.00037
792000,283.00174
795600,283.00946
799200,283.01755
802800,283.02267
806400,283.02908
810000,283.04617
813600,283.07532
817200,283.10364
820800,283.12546
824400,283.14334
828000,283.15546
831600,283.1587
835200,283.15707
838800,283.15912
842400,283.1676
846000,283.18375
849600,283.20847
853200,283.234
856800,283.2552
860400,283.26785
864000,283.26563
867600,283.25668
871200,283.25085
874800,283.24704
878400,283.24054
882000,283.23785
885600,283.23795
889200,282.19562
892800,282.81467
896400,283.0548
900000,283.12622
903600,283.19495
907200,283.2828
910800,283.31332
914400,283.38422
918000,283.41684
921600,283.417
925200,283.38675
928800,283.259
932400,283.53918
936000,283.60587
939600,283.58853
943200,283.53906
946800,283.4965
950400,283.45483
954000,283.42017
957600,283.39136
961200,283.36847
964800,283.34952
968400,283.3313
972000,283.3103
975600,282.26724
979200,282.88055
982800,283.0942
986400,283.17108
990000,283.25443
993600,283.33145
997200,283.37994
1000800,283.4124
1004400,283.41998
1008000,283.4224
1011600,283.4235
1015200,283.31595
1018800,283.5714
1022400,283.63797
1026000,283.64804
1029600,283.6128
1033200,283.581
1036800,283.55548
1040400,283.53647
1044000,283.51733
1047600,283.4994
1051200,283.492
1054800,283.49994
1058400,283.51785
1062000,282.50797
1065600,283.1335
1069200,283.3043
1072800,283.36606
1076400,283.42902
1080000,283.49133
1083600,283.5201
1087200,283.55536
1090800,283.58554
1094400,283.58356
1098000,283.58896
1101600,283.50928
1105200,283.6875
1108800,283.73605
1112400,283.7711
1116000,283.78006
1119600,283.77042
1123200,283.76157
1126800,283.75775
1130400,283.75388
1134000,283.74295
1137600,283.7256
1141200,283.7089
1144800,283.6895
1148400,282.65982
1152000,283.25858
1155600,283.4062
1159200,283.44025
1162800,283.48926
1166400,283.54147
1170000,283.57022
1173600,283.60367
1177200,283.61768
1180800,283.58826
1184400,283.58936
1188000,283.50183
1191600,283.69974
1195200,283.75113
1198800,283.76935
1202400,283.75003
1206000,283.72128
1209600,283.69714
1213200,283.6805
1216800,283.6672
1220400,283.65308
1224000,283.63403
1227600,283.61444
1231200,283.60684
1234800,282.60748
1238400,283.21548
1242000,283.3696
1245600,283.39688
1249200,283.44174
1252800,283.4911
1256400,283.5146
1260000,283.53394
1263600,283.5348
1267200,283.5226
1270800,283.53952
