Time,borFie.TBorAve
0,286.1768
3600,286.16357
7200,286.15094
10800,286.141
14400,286.133
18000,286.1264
21600,286.121
25200,286.11414
28800,286.08032
32400,286.01422
36000,285.9648
39600,285.92682
43200,285.89618
46800,285.8721
50400,285.85318
54000,285.83713
57600,285.8231
61200,285.81052
64800,285.79828
68400,285.7853
72000,285.77267
75600,285.76257
79200,285.75607
82800,285.77325
86400,285.82465
90000,285.86237
93600,285.8895
97200,285.9096
100800,285.92505
104400,285.93726
108000,285.94717
111600,285.95343
115200,285.9347
118800,285.88693
122400,285.85287
126000,285.82816
129600,285.80978
133200,285.7969
136800,285.78757
140400,285.77945
144000,285.7723
147600,285.76614
151200,285.75928
154800,285.75012
158400,285.7412
162000,285.73398
165600,285.73007
169200,285.74728
172800,285.79465
176400,285.82977
180000,285.85544
183600,285.8748
187200,285.8899
190800,285.90204
194400,285.91208
198000,285.91858
201600,285.9009
205200,285.85477
208800,285.82172
212400,285.79733
216000,285.77817
219600,285.76343
223200,285.7511
226800,285.73798
230400,285.72433
234000,285.71246
237600,285.7018
241200,285.6907
244800,285.68015
248400,285.6708
252000,285.66397
255600,285.6818
259200,285.7361
262800,285.77652
266400,285.806
270000,285.82825
273600,285.84567
277200,285.8597
280800,285.8713
284400,285.87924
288000,285.8607
291600,285.81015
295200,285.77353
298800,285.74677
302400,285.72647
306000,285.71164
309600,285.70056
313200,285.6911
316800,285.6825
320400,285.67416
324000,285.6646
327600,285.65314
331200,285.64297
334800,285.63562
338400,285.63217
342000,285.65247
345600,285.7067
349200,285.74704
352800,285.77658
356400,285.79895
360000,285.8165
363600,285.8307
367200,285.84244
370800,285.8512
374400,285.8344
378000,285.78488
381600,285.74878
385200,285.7223
388800,285.70142
392400,285.68515
396000,285.6721
399600,285.661
403200,285.6515
406800,285.64374
410400,285.63754
414000,285.63065
417600,285.62457
421200,285.61902
424800,285.61374
428400,285.63245
432000,285.68588
435600,285.7258
439200,285.75513
442800,285.77728
446400,285.79465
450000,285.8088
453600,285.82068
457200,285.82947
460800,285.81265
464400,285.76358
468000,285.7279
471600,285.70178
475200,285.68118
478800,285.66507
482400,285.65292
486000,285.64288
489600,285.63412
493200,285.6271
496800,285.62122
500400,285.61426
504000,285.60782
507600,285.6018
511200,285.59622
514800,285.6151
518400,285.66925
522000,285.70972
525600,285.73935
529200,285.76166
532800,285.77908
536400,285.7932
540000,285.805
543600,285.81247
547200,285.79123
550800,285.7369
554400,285.69812
558000,285.67056
561600,285.65042
565200,285.636
568800,285.6254
572400,285.61658
576000,285.60876
579600,285.60144
583200,285.5932
586800,285.58325
590400,285.57404
594000,285.56686
597600,285.56268
601200,285.58368
604800,285.64102
608400,285.68387
612000,285.71545
615600,285.7395
619200,285.7585
622800,285.77402
626400,285.787
630000,285.79587
633600,285.77686
637200,285.72482
640800,285.68774
644400,285.66092
648000,285.64032
651600,285.62466
655200,285.6126
658800,285.60223
662400,285.59302
666000,285.5851
669600,285.57712
673200,285.5675
676800,285.55856
680400,285.5518
684000,285.54807
687600,285.56943
691200,285.62686
694800,285.66968
698400,285.70117
702000,285.72513
705600,285.74408
709200,285.7595
712800,285.77237
716400,285.78104
720000,285.76157
723600,285.7094
727200,285.67184
730800,285.64322
734400,285.61978
738000,285.60178
741600,285.58853
745200,285.5778
748800,285.569
752400,285.5616
756000,285.55374
759600,285.54404
763200,285.53525
766800,285.52866
770400,285.52518
774000,285.54718
777600,285.60596
781200,285.64987
784800,285.68222
788400,285.70688
792000,285.72638
795600,285.7423
799200,285.7557
802800,285.76468
806400,285.74637
810000,285.69745
813600,285.66382
817200,285.6401
820800,285.62198
824400,285.6083
828000,285.59818
831600,285.5901
835200,285.58368
838800,285.57892
842400,285.5743
846000,285.56833
849600,285.5635
853200,285.56174
856800,285.56375
860400,285.5858
864000,285.6363
867600,285.674
871200,285.70187
874800,285.72314
878400,285.74008
882000,285.75397
885600,285.76566
889200,285.77313
892800,285.75638
896400,285.71286
900000,285.68225
903600,285.6608
907200,285.64465
910800,285.6331
914400,285.625
918000,285.61853
921600,285.61313
925200,285.60834
928800,285.6024
