Time,borFie.TBorAve
0,286.25677
3600,286.23996
7200,286.22693
10800,286.2171
14400,286.20938
18000,286.20313
21600,286.19803
25200,286.19043
28800,286.146
32400,286.07455
36000,286.0259
39600,285.98944
43200,285.96054
46800,285.9384
50400,285.92105
54000,285.9062
57600,285.89313
61200,285.88132
64800,285.8694
68400,285.85654
72000,285.84415
75600,285.8351
79200,285.82947
82800,285.85715
86400,285.91455
90000,285.9523
93600,285.97827
97200,285.9971
100800,286.01138
104400,286.02267
108000,286.0318
111600,286.03656
115200,286.00797
118800,285.95508
122400,285.92133
126000,285.89764
129600,285.88065
133200,285.86923
136800,285.86093
140400,285.8535
144000,285.84686
147600,285.84122
151200,285.83405
154800,285.82465
158400,285.81564
162000,285.80914
165600,285.8059
169200,285.83234
172800,285.88492
176400,285.91995
180000,285.94452
183600,285.96268
187200,285.97668
190800,285.98795
194400,285.9972
198000,286.00226
201600,285.97495
205200,285.9238
208800,285.89093
212400,285.8674
216000,285.8492
219600,285.83563
223200,285.82385
226800,285.81064
230400,285.79703
234000,285.78568
237600,285.77512
241200,285.76413
244800,285.75363
248400,285.74496
252000,285.73856
255600,285.7672
259200,285.8278
262800,285.86823
266400,285.8965
270000,285.91742
273600,285.9336
277200,285.94662
280800,285.95734
284400,285.96378
288000,285.93463
291600,285.8784
295200,285.84183
298800,285.8161
302400,285.7971
306000,285.78366
309600,285.77365
313200,285.7649
316800,285.7567
320400,285.74866
324000,285.73865
327600,285.727
331200,285.71698
334800,285.7107
338400,285.70807
342000,285.7388
345600,285.79892
349200,285.8391
352800,285.86743
356400,285.8884
360000,285.9047
363600,285.91785
367200,285.9287
370800,285.93628
374400,285.909
378000,285.85367
381600,285.8176
385200,285.79193
388800,285.7721
392400,285.75693
396000,285.74472
399600,285.73438
403200,285.7254
406800,285.71848
410400,285.71262
414000,285.7059
417600,285.70013
421200,285.69482
424800,285.6897
428400,285.71872
432000,285.77805
435600,285.81793
439200,285.846
442800,285.8668
446400,285.88293
450000,285.89606
453600,285.9071
457200,285.91464
460800,285.8874
464400,285.83258
468000,285.7969
471600,285.77167
475200,285.75204
478800,285.7371
482400,285.72598
486000,285.7167
489600,285.7085
493200,285.70224
496800,285.69656
500400,285.6897
504000,285.68344
507600,285.6776
511200,285.6722
514800,285.70157
518400,285.76172
522000,285.8021
525600,285.83047
529200,285.85135
532800,285.86752
536400,285.88058
540000,285.8915
543600,285.89716
547200,285.86462
550800,285.8044
554400,285.76593
558000,285.7397
561600,285.72107
565200,285.7082
568800,285.69873
572400,285.6907
576000,285.6834
579600,285.67642
583200,285.66788
586800,285.65778
590400,285.64865
594000,285.64224
597600,285.6387
601200,285.6707
604800,285.73428
608400,285.77707
612000,285.80734
615600,285.82993
619200,285.84766
622800,285.86206
626400,285.87408
630000,285.88135
633600,285.8512
637200,285.7933
640800,285.75638
644400,285.7306
648000,285.71115
651600,285.69678
655200,285.6857
658800,285.676
662400,285.6673
666000,285.65997
669600,285.65182
673200,285.64212
676800,285.6333
680400,285.62738
684000,285.6243
687600,285.6566
