Time,borFie.TBorAve
0,286.25677
3600,286.24356
7200,286.23096
10800,286.221
14400,286.21298
18000,286.20642
21600,286.20102
25200,286.19412
28800,286.16034
32400,286.0942
36000,286.04483
39600,286.00684
43200,285.9762
46800,285.95212
50400,285.93323
54000,285.91714
57600,285.9031
61200,285.89056
64800,285.87833
68400,285.86536
72000,285.85272
75600,285.84262
79200,285.83612
82800,285.8533
86400,285.9047
90000,285.94244
93600,285.96954
97200,285.9897
100800,286.00513
104400,286.01733
108000,286.02725
111600,286.03348
115200,286.01477
118800,285.96698
122400,285.93295
126000,285.90823
129600,285.88986
133200,285.87698
136800,285.86765
140400,285.85953
144000,285.8524
147600,285.84622
151200,285.83936
154800,285.83023
158400,285.8213
162000,285.81406
165600,285.81018
169200,285.82736
172800,285.87476
176400,285.90988
180000,285.93555
183600,285.9549
187200,285.97
190800,285.98215
194400,285.9922
198000,285.9987
201600,285.981
205200,285.93488
208800,285.90182
212400,285.87744
216000,285.85825
219600,285.84354
223200,285.83124
226800,285.81808
230400,285.80444
234000,285.7926
237600,285.78192
241200,285.7708
244800,285.76028
248400,285.75095
252000,285.7441
255600,285.76193
259200,285.81625
262800,285.85666
266400,285.88614
270000,285.9084
273600,285.9258
277200,285.93985
280800,285.95145
284400,285.95938
288000,285.94083
291600,285.8903
295200,285.85364
298800,285.8269
302400,285.8066
306000,285.79178
309600,285.7807
313200,285.77124
316800,285.76266
320400,285.75433
324000,285.74475
327600,285.7333
331200,285.7231
334800,285.7158
338400,285.71234
342000,285.73264
345600,285.78687
349200,285.8272
352800,285.85675
356400,285.87912
360000,285.89664
363600,285.91086
367200,285.92258
370800,285.93137
374400,285.91458
378000,285.86502
381600,285.82895
385200,285.80246
388800,285.7816
392400,285.76532
396000,285.75226
399600,285.74118
403200,285.73166
406800,285.7239
410400,285.71774
414000,285.71082
417600,285.70477
421200,285.69922
424800,285.6939
428400,285.71265
432000,285.76605
435600,285.806
439200,285.83533
442800,285.85745
446400,285.87485
450000,285.88898
453600,285.90085
457200,285.90967
460800,285.89282
464400,285.84378
468000,285.8081
471600,285.78195
475200,285.76138
478800,285.74527
482400,285.73312
486000,285.72308
489600,285.71432
493200,285.7073
496800,285.70142
500400,285.69446
504000,285.68802
507600,285.682
511200,285.67645
514800,285.69534
518400,285.74948
522000,285.78992
525600,285.81958
529200,285.8419
532800,285.8593
536400,285.87344
540000,285.88522
543600,285.89267
547200,285.87143
550800,285.8171
554400,285.77832
558000,285.7508
561600,285.73062
565200,285.71622
568800,285.70563
572400,285.6968
576000,285.689
579600,285.68167
583200,285.6734
586800,285.66348
590400,285.65427
594000,285.6471
597600,285.6429
601200,285.6639
604800,285.72128
608400,285.76413
