Time,TAvgFluid
0,286.0943
3600,286.09976
7200,286.09274
10800,286.07935
14400,286.06772
18000,286.05984
21600,286.05298
25200,285.98166
28800,285.29706
32400,285.33527
36000,285.30667
39600,285.2519
43200,285.221
46800,285.21152
50400,285.1916
54000,285.17676
57600,285.16104
61200,285.14957
64800,285.11365
68400,285.0906
72000,285.07275
75600,285.10773
79200,285.09537
82800,285.75583
86400,285.72534
90000,285.74298
93600,285.77414
97200,285.80096
100800,285.82166
104400,285.83792
108000,285.8512
111600,285.80643
115200,285.2281
118800,285.27878
122400,285.26816
126000,285.2391
129600,285.23306
133200,285.23697
136800,285.22293
140400,285.21484
144000,285.20825
147600,285.2097
151200,285.15756
154800,285.1463
158400,285.12347
162000,285.15756
165600,285.1508
169200,285.7367
172800,285.71024
176400,285.72696
180000,285.756
183600,285.78137
187200,285.8007
190800,285.8154
194400,285.82626
198000,285.78336
201600,285.2208
205200,285.2662
208800,285.25302
212400,285.21478
216000,285.1928
219600,285.18576
223200,285.14563
226800,285.0987
230400,285.0761
234000,285.0734
237600,285.03156
241200,285.01883
244800,284.98776
248400,285.00858
252000,284.98593
255600,285.67996
259200,285.6494
262800,285.66827
266400,285.70087
270000,285.72964
273600,285.75192
277200,285.76898
280800,285.7826
284400,285.7433
288000,285.11963
291600,285.16272
295200,285.14835
298800,285.11337
302400,285.09656
306000,285.09464
309600,285.07816
313200,285.06607
316800,285.048
320400,285.03372
324000,284.97458
327600,284.9652
331200,284.94882
334800,284.98978
338400,284.98285
342000,285.64484
345600,285.61554
349200,285.63492
352800,285.66788
356400,285.69617
360000,285.71814
363600,285.73553
367200,285.74802
370800,285.729
374400,285.10098
378000,285.1403
381600,285.12753
385200,285.08438
388800,285.0582
392400,285.04337
396000,285.022
399600,285.01257
403200,284.99454
406800,285.0113
410400,284.97974
414000,284.9766
417600,284.97028
421200,284.9626
424800,284.95395
428400,285.61987
432000,285.59113
435600,285.6105
439200,285.64188
442800,285.6691
446400,285.69128
450000,285.70953
453600,285.7243
457200,285.69843
460800,285.07886
464400,285.1173
468000,285.10455
471600,285.0648
475200,285.0329
478800,285.02625
482400,285.0134
486000,284.99905
489600,284.98724
493200,285.00006
496800,284.96683
500400,284.95996
504000,284.95013
507600,284.94266
511200,284.93402
514800,285.60916
518400,285.5796
522000,285.5983
525600,285.62888
529200,285.65552
532800,285.67703
536400,285.69376
540000,285.707
543600,285.64667
547200,284.99005
550800,285.03894
554400,285.02975
558000,285.0006
561600,284.98706
565200,284.98505
568800,284.97266
572400,284.96243
576000,284.9492
579600,284.93832
583200,284.88895
586800,284.8778
590400,284.85934
594000,284.8885
597600,284.87778
601200,285.58124
604800,285.5514
608400,285.57263
612000,285.6078
615600,285.63858
619200,285.6627
622800,285.68173
626400,285.69675
630000,285.65018
633600,285.00183
637200,285.0529
640800,285.0406
644400,285.00253
648000,284.97742
651600,284.9697
655200,284.95142
658800,284.93475
662400,284.92233
666000,284.92007
669600,284.872
673200,284.8596
676800,284.84406
680400,284.87463
684000,284.8653
687600,285.5667
691200,285.53568
694800,285.55594
698400,285.59073
702000,285.62143
705600,285.64505
709200,285.66354
712800,285.6788
716400,285.62592
720000,284.981
723600,285.03186
727200,285.00784
730800,284.94907
734400,284.91763
738000,284.91534
741600,284.89948
745200,284.8902
748800,284.88235
752400,284.87863
756000,284.8262
759600,284.81857
763200,284.80264
766800,284.8356
770400,284.82568
774000,285.54135
777600,285.5109
781200,285.5322
784800,285.56818
788400,285.59985
792000,285.6243
795600,285.64447
799200,285.66095
802800,285.60373
806400,284.9914
810000,285.05368
813600,285.04953
817200,285.01428
820800,284.99112
824400,284.98694
828000,284.97598
831600,284.97092
835200,284.96835
838800,284.9771
842400,284.9397
846000,284.93945
849600,284.94193
853200,284.99634
856800,285.0015
860400,285.57657
864000,285.55457
867600,285.57288
871200,285.60257
874800,285.62918
878400,285.6501
882000,285.66632
885600,285.6801
889200,285.61893
892800,285.08792
896400,285.12842
900000,285.12714
903600,285.09634
907200,285.08054
910800,285.08347
914400,285.07455
918000,285.06897
921600,285.0614
925200,285.0574
928800,285.00253
932400,284.99075
936000,284.9828
939600,284.99454
943200,284.9739
946800,285.5911
950400,285.56372
954000,285.58136
957600,285.61166
961200,285.63828
964800,285.6595
968400,285.6764
972000,285.68964
975600,285.67404
979200,285.0721
982800,285.10153
986400,285.09198
990000,285.0681
993600,285.0649
997200,285.06564
1000800,285.0503
1004400,285.04202
1008000,285.03336
1011600,285.05096
1015200,285.02417
1018800,285.0103
1022400,285.00272
1026000,284.99796
1029600,284.99396
1033200,285.59512
1036800,285.56946
1040400,285.58774
1044000,285.61758
1047600,285.64304
1051200,285.66306
1054800,285.67905
1058400,285.69238
1062000,285.6716
1065600,285.15512
1069200,285.18982
1072800,285.1791
1076400,285.13794
1080000,285.12375
1083600,285.1325
1087200,285.11914
1090800,285.1089
1094400,285.0974
1098000,285.1186
1101600,285.08862
1105200,285.0796
1108800,285.06497
1112400,285.05075
1116000,285.0489
1119600,285.60928
1123200,285.58624
1126800,285.60416
1130400,285.63324
1134000,285.6592
1137600,285.67838
1141200,285.6938
1144800,285.7079
1148400,285.65717
1152000,285.1508
1155600,285.19315
1159200,285.17648
1162800,285.1443
1166400,285.13467
1170000,285.1352
1173600,285.1251
1177200,285.1104
1180800,285.09503
1184400,285.07938
1188000,285.0345
1191600,285.00378
1195200,284.98395
1198800,285.01913
1202400,285.0077
1206000,285.6052
1209600,285.57895
1213200,285.59695
1216800,285.62646
1220400,285.65228
1224000,285.67294
1227600,285.68805
1231200,285.7019
1234800,285.66772
1238400,285.13025
1242000,285.16724
1245600,285.15027
1249200,285.11508
1252800,285.0906
1256400,285.08185
1260000,285.06323
1263600,285.0438
1267200,285.02744
1270800,285.02246
1274400,284.97577
1278000,284.95056
1281600,284.93408
1285200,284.96393
1288800,284.9489
1292400,285.57983
1296000,285.55148
1299600,285.57022
1303200,285.60086
1306800,285.62796
1310400,285.6494
1314000,285.66537
1317600,285.67792
1321200,285.62033
1324800,285.0335
1328400,285.06873
1332000,285.0541
1335600,285.02203
1339200,285.01376
1342800,285.02438
1346400,285.01166
1350000,284.98895
1353600,284.96466
1357200,284.9678
1360800,284.93167
1364400,284.90424
1368000,284.87772
1371600,284.90384
1375200,284.88583
1378800,285.5556
1382400,285.52515
1386000,285.54376
1389600,285.577
1393200,285.6043
1396800,285.62543
1400400,285.64304
1404000,285.6576
1407600,285.6035
1411200,284.99197
1414800,285.04028
1418400,285.02493
1422000,284.9872
1425600,284.97293
1429200,284.97433
1432800,284.95563
1436400,284.94086
1440000,284.93314
1443600,284.93607
1447200,284.91245
1450800,284.8987
1454400,284.8733
1458000,284.88953
1461600,284.87256
1465200,285.554
1468800,285.52487
1472400,285.5455
1476000,285.5786
1479600,285.60788
1483200,285.63068
1486800,285.64755
1490400,285.66095
1494000,285.61655
1497600,285.0242
1501200,285.0796
1504800,285.0756
1508400,285.0462
1512000,285.03558
1515600,285.04126
1519200,285.03705
1522800,285.03528
1526400,285.03848
1530000,285.05225
1533600,285.0222
1537200,285.01184
1540800,285.00604
1544400,285.04398
1548000,285.03293
1551600,285.58197
1555200,285.56
1558800,285.57745
1562400,285.60614
1566000,285.63126
1569600,285.6508
1573200,285.66663
1576800,285.67953
1580400,285.65637
1584000,285.14902
1587600,285.18073
1591200,285.17426
1594800,285.14114
1598400,285.13037
1602000,285.13776
1605600,285.12265
1609200,285.1027
1612800,285.08453
1616400,285.11935
1620000,285.09244
1623600,285.07147
1627200,285.05267
1630800,285.02823
1634400,285.00873
1638000,285.59177
1641600,285.5652
1645200,285.58096
1648800,285.60776
1652400,285.6312
1656000,285.64987
1659600,285.66394
1663200,285.6749
1666800,285.64398
1670400,285.06473
1674000,285.09442
1677600,285.083
1681200,285.05023
1684800,285.04276
1688400,285.05472
1692000,285.04724
1695600,285.0364
1699200,285.02087
1702800,285.05362
1706400,285.02048
1710000,285.0041
1713600,284.99738
1717200,284.99353
1720800,284.98804
1724400,285.56888
1728000,285.54337
1731600,285.56012
1735200,285.58868
1738800,285.6129
1742400,285.63245
1746000,285.64883
1749600,285.6625
1753200,285.59677
1756800,285.0682
1760400,285.1123
1764000,285.10153
1767600,285.06995
1771200,285.05927
1774800,285.05835
1778400,285.0331
1782000,285.02185
1785600,285.01453
1789200,285.0106
1792800,284.96524
1796400,284.95395
1800000,284.94513
1803600,284.98892
1807200,284.972
1810800,285.55548
1814400,285.53094
1818000,285.54868
1821600,285.57755
1825200,285.60205
1828800,285.6207
1832400,285.63565
1836000,285.64795
1839600,285.57138
1843200,285.00693
1846800,285.0473
1850400,285.0395
1854000,285.00464
1857600,284.99762
1861200,285.01486
1864800,285.00537
1868400,284.99298
1872000,284.9854
1875600,284.9771
1879200,284.91565
1882800,284.9036
1886400,284.8944
1890000,284.9442
1893600,284.9399
1897200,285.53305
1900800,285.5093
1904400,285.5298
1908000,285.5609
1911600,285.5875
1915200,285.6091
1918800,285.6258
1922400,285.6389
1926000,285.56467
1929600,285.0432
1933200,285.07803
1936800,285.06262
1940400,285.02106
1944000,285.01022
1947600,285.02365
1951200,285.0143
1954800,285.00943
1958400,285.00455
1962000,285.00714
1965600,284.95416
1969200,284.93652
1972800,284.92136
1976400,284.95703
1980000,284.9335
1983600,285.53787
1987200,285.51218
1990800,285.53043
1994400,285.55936
1998000,285.58398
2001600,285.6036
2005200,285.6194
2008800,285.63116
2012400,285.5657
2016000,284.96667
2019600,285.0127
2023200,285.0159
2026800,284.97272
2030400,284.9436
2034000,284.9448
2037600,284.9365
2041200,284.92645
2044800,284.91205
2048400,284.8986
2052000,284.83136
2055600,284.81003
2059200,284.79688
2062800,284.8283
2066400,284.81567
2070000,285.49844
2073600,285.4695
2077200,285.49063
2080800,285.52344
2084400,285.55182
2088000,285.5756
2091600,285.59277
2095200,285.6072
2098800,285.546
2102400,284.93445
2106000,284.98596
2109600,284.96045
2113200,284.90738
2116800,284.9029
2120400,284.90634
2124000,284.89047
2127600,284.88345
2131200,284.8707
2134800,284.87158
2138400,284.81668
2142000,284.81036
2145600,284.79434
2149200,284.8226
2152800,284.81015
2156400,285.4837
2160000,285.45474
2163600,285.47534
2167200,285.50912
2170800,285.53766
2174400,285.55887
2178000,285.5767
2181600,285.59
2185200,285.5542
2188800,284.91113
2192400,284.95688
2196000,284.94635
2199600,284.90836
2203200,284.89838
2206800,284.90436
2210400,284.89392
2214000,284.88336
2217600,284.8679
2221200,284.88312
2224800,284.83502
2228400,284.8116
2232000,284.79776
2235600,284.7745
2239200,284.75433
2242800,285.47324
2246400,285.44003
2250000,285.45944
2253600,285.49414
2257200,285.52518
2260800,285.5495
2264400,285.5681
2268000,285.58182
2271600,285.54874
2275200,284.87393
2278800,284.9165
2282400,284.90515
2286000,284.86215
2289600,284.84933
2293200,284.85712
2296800,284.84296
2300400,284.8223
2304000,284.79572
2307600,284.81607
2311200,284.78595
2314800,284.7747
2318400,284.77408
2322000,284.77643
2325600,284.7753
2329200,285.4672
2332800,285.4374
2336400,285.45908
2340000,285.49585
2343600,285.5274
2347200,285.552
2350800,285.5716
2354400,285.5874
2358000,285.53168
2361600,284.94012
2365200,284.9978
2368800,284.9832
2372400,284.94427
2376000,284.9338
2379600,284.94427
2383200,284.94003
2386800,284.93295
2390400,284.9198
2394000,284.90796
2397600,284.8686
2401200,284.84894
2404800,284.8348
2408400,284.86288
2412000,284.8489
2415600,285.4979
2419200,285.47104
2422800,285.4909
2426400,285.52258
2430000,285.54977
2433600,285.57138
2437200,285.5881
2440800,285.60184
2444400,285.5506
2448000,284.92926
2451600,284.97424
2455200,284.955
2458800,284.91605
2462400,284.90082
2466000,284.9044
2469600,284.89517
2473200,284.89288
2476800,284.89084
2480400,284.89026
2484000,284.85663
2487600,284.84335
2491200,284.84247
2494800,284.88354
2498400,284.864
2502000,285.49408
2505600,285.46765
2509200,285.48633
2512800,285.51755
2516400,285.5448
2520000,285.56647
2523600,285.5832
2527200,285.59683
2530800,285.5431
2534400,284.90802
2538000,284.94547
2541600,284.92697
2545200,284.89893
2548800,284.88556
2552400,284.88196
2556000,284.87338
2559600,284.86334
2563200,284.85373
2566800,284.85168
2570400,284.819
2574000,284.7976
2577600,284.78195
2581200,284.8131
2584800,284.7979
2588400,285.47623
2592000,285.4465
2595600,285.4675
2599200,285.50235
2602800,285.53192
2606400,285.55435
2610000,285.57217
2613600,285.5873
2617200,285.53577
2620800,284.91812
2624400,284.96854
2628000,284.95645
2631600,284.92145
2635200,284.90775
2638800,284.91245
2642400,284.90085
2646000,284.885
2649600,284.8689
2653200,284.8638
2656800,284.82413
2660400,284.80182
2664000,284.78766
2667600,284.8221
2671200,284.8096
2674800,285.47992
2678400,285.45175
2682000,285.4727
2685600,285.50757
2689200,285.53845
2692800,285.5626
2696400,285.5811
2700000,285.59586
2703600,285.551
2707200,284.97192
2710800,285.021
2714400,285.0114
2718000,284.98117
2721600,284.96805
2725200,284.96677
2728800,284.95035
2732400,284.93588
2736000,284.92334
2739600,284.9246
2743200,284.8901
2746800,284.8727
2750400,284.86374
2754000,284.90375
2757600,284.89124
2761200,285.4979
2764800,285.47305
2768400,285.49304
2772000,285.52475
2775600,285.55203
2779200,285.57382
2782800,285.59155
2786400,285.60605
2790000,285.5839
2793600,285.0213
2797200,285.05875
2800800,285.04642
2804400,285.0073
2808000,284.99054
2811600,284.9898
2815200,284.97964
2818800,284.9734
2822400,284.9608
2826000,284.9896
2829600,284.96054
2833200,284.93277
2836800,284.9058
2840400,284.8916
2844000,284.88864
2847600,285.51367
2851200,285.48553
2854800,285.50415
2858400,285.5353
2862000,285.56204
2865600,285.5828
2869200,285.59912
2872800,285.6123
2876400,285.5905
2880000,285.00146
2883600,285.03784
2887200,285.03168
2890800,285.00134
2894400,284.98804
2898000,284.9924
2901600,284.9848
2905200,284.97964
2908800,284.96988
2912400,285.0034
2916000,284.9748
2919600,284.96225
2923200,284.95734
2926800,284.95483
2930400,284.95267
2934000,285.52438
2937600,285.50067
2941200,285.51868
2944800,285.54745
2948400,285.57202
2952000,285.59116
2955600,285.60675
2959200,285.61987
2962800,285.5633
2966400,285.05795
2970000,285.10034
2973600,285.0889
2977200,285.05707
2980800,285.0395
2984400,285.0392
2988000,285.03455
2991600,285.03107
2995200,285.0301
2998800,285.03403
3002400,285.01077
3006000,284.99655
3009600,284.98315
3013200,285.01776
3016800,285.0095
3020400,285.54648
3024000,285.5243
3027600,285.54102
3031200,285.5679
3034800,285.5914
3038400,285.6098
3042000,285.6245
3045600,285.6365
3049200,285.5921
3052800,285.06174
3056400,285.09937
3060000,285.0854
3063600,285.0425
3067200,285.0077
3070800,284.98532
3074400,284.95828
3078000,284.9359
3081600,284.91397
3085200,284.9124
3088800,284.89944
3092400,284.8997
3096000,284.8838
3099600,284.91083
3103200,284.8906
3106800,285.51968
3110400,285.49265
3114000,285.50827
3117600,285.53836
3121200,285.56583
3124800,285.58652
3128400,285.60437
3132000,285.6172
