Time,TAvgFluid
0,286.09415
3600,286.0978
7200,286.08658
10800,286.0725
14400,286.06152
18000,286.05444
21600,286.04825
25200,285.97748
28800,285.2914
32400,285.31067
36000,285.27383
39600,285.22168
43200,285.19498
46800,285.18915
50400,285.17267
54000,285.16046
57600,285.1466
61200,285.1365
64800,285.10168
68400,285.07886
72000,285.06107
75600,285.09637
79200,285.08585
82800,285.74777
86400,285.73587
90000,285.76288
93600,285.79266
97200,285.8159
100800,285.83356
104400,285.84756
108000,285.8592
111600,285.8131
115200,285.23215
118800,285.2654
122400,285.24695
126000,285.21964
129600,285.21686
133200,285.22385
136800,285.21252
140400,285.20615
144000,285.20053
147600,285.2027
151200,285.1513
154800,285.1393
158400,285.116
162000,285.14993
165600,285.14453
169200,285.73166
172800,285.72162
176400,285.7465
180000,285.7742
183600,285.79626
187200,285.81284
190800,285.82544
194400,285.83475
198000,285.7906
201600,285.22552
205200,285.25394
208800,285.23303
212400,285.19635
216000,285.17725
219600,285.1726
223200,285.13464
226800,285.0886
230400,285.06577
234000,285.0631
237600,285.02216
241200,285.0096
244800,284.97876
248400,284.9996
252000,284.97812
255600,285.673
259200,285.66177
262800,285.69055
266400,285.72183
270000,285.74686
273600,285.766
277200,285.78067
280800,285.7925
284400,285.75177
288000,285.12552
291600,285.14987
295200,285.1267
298800,285.09323
302400,285.07974
306000,285.0808
309600,285.06702
313200,285.05673
316800,285.03976
320400,285.026
324000,284.9672
327600,284.9569
331200,284.94022
334800,284.98148
338400,284.9765
342000,285.63998
345600,285.62924
349200,285.65775
352800,285.68918
356400,285.7137
360000,285.7325
363600,285.74753
367200,285.75824
370800,285.7378
374400,285.1077
378000,285.12845
381600,285.10666
385200,285.06485
388800,285.0417
392400,285.02942
396000,285.01025
399600,285.00232
403200,284.98557
406800,285.0031
410400,284.9729
414000,284.97015
417600,284.96405
421200,284.95676
424800,284.9485
428400,285.61478
432000,285.6044
435600,285.63312
439200,285.66312
442800,285.68668
446400,285.70566
450000,285.7216
453600,285.73462
457200,285.7074
460800,285.08563
464400,285.10565
468000,285.08398
471600,285.04556
475200,285.01675
478800,285.01254
482400,285.00195
486000,284.98944
489600,284.97888
493200,284.9925
496800,284.9605
500400,284.95386
504000,284.9441
507600,284.93683
511200,284.92847
514800,285.604
518400,285.59314
522000,285.62134
525600,285.6505
529200,285.67337
532800,285.69162
536400,285.70596
540000,285.7174
543600,285.65567
547200,284.9959
550800,285.0249
554400,285.00662
558000,284.97946
561600,284.96985
565200,284.97128
568800,284.9618
572400,284.9535
576000,284.94144
579600,284.93124
583200,284.88232
586800,284.87048
590400,284.85175
594000,284.88098
597600,284.87173
601200,285.57635
604800,285.5661
608400,285.59714
612000,285.63077
615600,285.65765
619200,285.67844
622800,285.69498
626400,285.7081
630000,285.66006
633600,285.00882
637200,285.04025
640800,285.0189
644400,284.9826
648000,284.9609
651600,284.956
655200,284.94016
658800,284.92523
662400,284.91385
666000,284.91235
669600,284.86517
673200,284.85236
676800,284.83658
680400,284.86737
684000,284.85953
687600,285.56213
691200,285.5506
694800,285.5806
698400,285.61377
702000,285.64053
705600,285.6608
709200,285.6768
712800,285.6902
716400,285.63583
720000,284.98782
723600,285.0191
727200,284.9861
730800,284.9288
734400,284.9001
738000,284.9002
741600,284.887
745200,284.87982
748800,284.8735
752400,284.87094
756000,284.81943
759600,284.81128
763200,284.79514
766800,284.8283
770400,284.81998
774000,285.53683
777600,285.52625
781200,285.55746
784800,285.59186
788400,285.61948
792000,285.6405
795600,285.65817
799200,285.67273
802800,285.61404
806400,284.99847
810000,285.04193
813600,285.02954
817200,284.9964
820800,284.9766
824400,284.97498
828000,284.96628
831600,284.96292
835200,284.9616
838800,284.97137
842400,284.93506
846000,284.9346
849600,284.937
853200,284.99197
856800,284.99918
860400,285.57578
864000,285.5696
867600,285.5955
871200,285.6235
874800,285.64655
878400,285.6645
882000,285.6785
885600,285.69064
889200,285.62814
892800,285.09406
896400,285.11804
900000,285.1093
903600,285.0803
907200,285.06754
910800,285.07294
914400,285.06635
918000,285.0624
921600,285.0559
925200,285.05258
928800,284.9982
932400,284.98544
936000,284.97687
939600,284.98883
943200,284.96915
946800,285.58685
950400,285.57648
954000,285.60278
957600,285.63184
961200,285.6551
964800,285.67346
968400,285.68823
972000,285.6999
975600,285.683
979200,285.07925
982800,285.0909
986400,285.07245
990000,285.04984
993600,285.05005
997200,285.0541
1000800,285.04153
1004400,285.0349
1008000,285.0272
1011600,285.0454
1015200,285.01978
1018800,285.00613
1022400,284.99826
1026000,284.99347
1029600,284.98972
1033200,285.5913
1036800,285.58234
1040400,285.60904
1044000,285.63763
1047600,285.65976
1051200,285.6769
1054800,285.69077
1058400,285.70248
1062000,285.68045
1065600,285.16202
1069200,285.18124
1072800,285.16306
1076400,285.12296
1080000,285.11105
1083600,285.12198
1087200,285.11105
1090800,285.10245
1094400,285.09186
1098000,285.11353
1101600,285.08472
1105200,285.07584
1108800,285.061
1112400,285.0466
1116000,285.04462
1119600,285.60532
1123200,285.59793
1126800,285.6238
1130400,285.65186
1134000,285.67487
1137600,285.69144
1141200,285.7049
1144800,285.7175
1148400,285.66562
1152000,285.1566
1155600,285.18338
1159200,285.15967
1162800,285.12878
1166400,285.1217
1170000,285.12473
1173600,285.11697
1177200,285.10388
1180800,285.08926
1184400,285.0739
1188000,285.02914
1191600,284.99768
1195200,284.97705
1198800,285.012
1202400,285.00217
1206000,285.60095
1209600,285.5915
1213200,285.6179
1216800,285.64615
1220400,285.66867
1224000,285.68652
1227600,285.69952
1231200,285.71176
1234800,285.67636
1238400,285.13663
1242000,285.15738
1245600,285.13275
1249200,285.0987
1252800,285.0768
1256400,285.07028
1260000,285.05365
1263600,285.03558
1267200,285.02
1270800,285.01553
1274400,284.96948
1278000,284.94388
1281600,284.92682
1285200,284.95667
1288800,284.94318
1292400,285.5752
1296000,285.56445
1299600,285.59204
1303200,285.62137
1306800,285.645
1310400,285.6635
1314000,285.67725
1317600,285.68814
1321200,285.62918
1324800,285.0394
1328400,285.05667
1332000,285.03363
1335600,285.00305
1339200,284.99805
1342800,285.01184
1346400,285.0022
1350000,284.98148
1353600,284.9579
1357200,284.96106
1360800,284.92548
1364400,284.89792
1368000,284.87094
1371600,284.89664
1375200,284.8798
1378800,285.5505
1382400,285.5387
1386000,285.5667
1389600,285.59857
1393200,285.62225
1396800,285.64023
1400400,285.65546
1404000,285.66827
1407600,285.6128
1411200,284.99835
1414800,285.028
1418400,285.0042
1422000,284.96814
1425600,284.95706
1429200,284.96143
1432800,284.9455
1436400,284.93246
1440000,284.9257
1443600,284.92938
1447200,284.90668
1450800,284.8932
1454400,284.86774
1458000,284.88367
1461600,284.86737
1465200,285.54938
1468800,285.53906
1472400,285.56924
1476000,285.60098
1479600,285.6265
1483200,285.64612
1486800,285.66058
1490400,285.67212
1494000,285.62628
1497600,285.03116
1501200,285.0685
1504800,285.0565
1508400,285.02902
1512000,285.02173
1515600,285.03027
1519200,285.0287
1522800,285.02884
1526400,285.0333
1530000,285.04803
1533600,285.01904
1537200,285.00854
1540800,285.00238
1544400,285.04022
1548000,285.03052
1551600,285.58035
1555200,285.5733
1558800,285.59818
1562400,285.6255
1566000,285.64746
1569600,285.6643
1573200,285.6781
1576800,285.6895
1580400,285.66516
1584000,285.15582
1587600,285.1723
1591200,285.15845
1594800,285.1265
1598400,285.11823
1602000,285.12796
1605600,285.11523
1609200,285.09677
1612800,285.0791
1616400,285.114
1620000,285.0885
1623600,285.06805
1627200,285.04886
1630800,285.02393
1634400,285.00388
1638000,285.5867
1641600,285.5762
1645200,285.6004
1648800,285.62622
1652400,285.6466
1656000,285.66266
1659600,285.67474
1663200,285.6842
1666800,285.65213
1670400,285.0707
1674000,285.08316
1677600,285.06335
1681200,285.03195
1684800,285.0276
1688400,285.04263
1692000,285.03818
1695600,285.02945
1699200,285.01498
1702800,285.0481
1706400,285.01633
1710000,285.00015
1713600,284.99304
1717200,284.98907
1720800,284.98383
1724400,285.5651
1728000,285.5557
1731600,285.5806
1735200,285.6079
1738800,285.62894
1742400,285.64572
1746000,285.66003
1749600,285.6722
1753200,285.60532
1756800,285.07367
1760400,285.10135
1764000,285.0833
1767600,285.05338
1771200,285.04562
1774800,285.0474
1778400,285.0245
1782000,285.01447
1785600,285.00787
1789200,285.0046
1792800,284.95993
1796400,284.94815
1800000,284.939
1803600,284.98303
1807200,284.96796
1810800,285.5525
1814400,285.544
1818000,285.56973
1821600,285.59723
1825200,285.61844
1828800,285.63422
1832400,285.64703
1836000,285.6577
1839600,285.57993
1843200,285.01202
1846800,285.03485
1850400,285.0192
1854000,284.98624
1857600,284.98248
1861200,285.0028
1864800,284.99646
1868400,284.98618
1872000,284.97955
1875600,284.97177
1879200,284.91068
1882800,284.89743
1886400,284.88757
1890000,284.93765
1893600,284.9355
1897200,285.5302
1900800,285.523
1904400,285.55164
1908000,285.58136
1911600,285.60455
1915200,285.62326
1918800,285.6378
1922400,285.64923
1926000,285.5737
1929600,285.04883
1933200,285.06723
1936800,285.04437
1940400,285.0042
1944000,284.99597
1947600,285.012
1951200,285.00552
1954800,285.00262
1958400,284.99893
1962000,285.00226
1965600,284.94998
1969200,284.93155
1972800,284.91556
1976400,284.9511
1980000,284.92902
1983600,285.5342
1987200,285.5251
1990800,285.55176
1994400,285.5794
1998000,285.60068
2001600,285.6174
2005200,285.631
2008800,285.64117
2012400,285.57443
2016000,284.97223
2019600,284.9999
2023200,284.99487
2026800,284.95395
