Time,TAvgFluid
0,283.6089
3600,285.45444
7200,285.62732
10800,285.62146
14400,285.60452
18000,285.59467
21600,285.5874
25200,285.51602
28800,284.83145
32400,284.86966
36000,284.84103
39600,284.7863
43200,284.7554
46800,284.7459
50400,284.72598
54000,284.71118
57600,284.69543
61200,284.684
64800,284.64807
68400,284.62503
72000,284.60718
75600,284.64218
79200,284.6298
82800,285.29028
86400,285.25977
90000,285.27744
93600,285.30856
97200,285.33542
100800,285.3561
104400,285.37238
108000,285.38565
111600,285.34085
115200,284.7625
118800,284.81323
122400,284.80258
126000,284.77356
129600,284.76752
133200,284.77142
136800,284.7574
140400,284.7493
144000,284.7427
147600,284.74417
151200,284.69205
154800,284.6808
158400,284.65796
162000,284.69205
165600,284.68527
169200,285.27115
172800,285.24472
176400,285.26144
180000,285.2905
183600,285.31586
187200,285.33517
190800,285.34988
194400,285.36075
198000,285.31784
201600,284.75528
205200,284.80066
208800,284.7875
212400,284.74927
216000,284.7273
219600,284.72025
223200,284.6801
226800,284.63318
230400,284.6106
234000,284.60788
237600,284.56604
241200,284.55334
244800,284.52225
248400,284.54306
252000,284.52045
255600,285.21448
259200,285.18393
262800,285.2028
266400,285.23538
270000,285.26416
273600,285.28644
277200,285.3035
280800,285.3171
284400,285.2778
288000,284.65414
291600,284.69724
295200,284.68286
298800,284.6479
302400,284.63107
306000,284.62915
309600,284.61267
313200,284.6006
316800,284.58255
320400,284.56824
324000,284.50912
327600,284.49976
331200,284.48337
334800,284.52432
338400,284.5174
342000,285.17935
345600,285.1501
349200,285.16946
352800,285.20242
356400,285.2307
360000,285.2527
363600,285.27008
367200,285.28256
370800,285.26355
374400,284.63553
378000,284.67484
381600,284.66208
385200,284.61893
388800,284.59274
392400,284.5779
396000,284.55655
399600,284.54712
403200,284.5291
406800,284.54587
410400,284.51428
414000,284.51117
417600,284.50482
421200,284.49713
424800,284.48853
428400,285.15445
432000,285.1257
435600,285.14508
439200,285.17642
442800,285.20367
446400,285.22583
450000,285.2441
453600,285.25888
457200,285.233
460800,284.61343
464400,284.6519
468000,284.63913
471600,284.59937
475200,284.56747
478800,284.56082
482400,284.54797
486000,284.53363
489600,284.52182
493200,284.53464
496800,284.5014
500400,284.49457
504000,284.48474
507600,284.47726
511200,284.46863
514800,285.14374
518400,285.1142
522000,285.1329
525600,285.16348
529200,285.1901
532800,285.2116
536400,285.22833
540000,285.24158
543600,285.18124
547200,284.52463
550800,284.57355
554400,284.56436
558000,284.5352
561600,284.52164
565200,284.51962
568800,284.50726
572400,284.49704
576000,284.4838
579600,284.47293
583200,284.42355
586800,284.4124
590400,284.39395
594000,284.4231
597600,284.4124
601200,285.11584
604800,285.08603
608400,285.10724
612000,285.1424
615600,285.17322
619200,285.19733
622800,285.21634
626400,285.23135
630000,285.1848
633600,284.53644
637200,284.58752
640800,284.5752
644400,284.53714
648000,284.51202
651600,284.5043
655200,284.48602
658800,284.4694
662400,284.45697
666000,284.4547
669600,284.40665
673200,284.39423
676800,284.3787
680400,284.40927
684000,284.39993
687600,285.10135
691200,285.0703
694800,285.0906
698400,285.12537
702000,285.15607
705600,285.1797
709200,285.19818
